serial_no,date,country,type,ref_no,summary,un_region,ohchr_region,alleged_victims,nb_of_replies,replies,vulnerable_groups,women_and_girls,human_rights_defenders,mandate
7,19 Apr 2023,China,OL,CHN 2/2023,"Information received concerning provisions of the National Security Law, amendments to the Legal Aid Scheme, and proposed amendments to the Legal Practitioners Bill in Hong Kong.",Asia-Pacific Group,Asia Pacific,0,0,NA,0,0,1,independence of judges and lawyers
29,10 Mar 2023,Indonesia,JAL,IDN 1/2023,Information received concerning a bomb attack perpetrated outside the home of journalist and human rights defender Mr. Victor Mambor.,Asia-Pacific Group,Asia Pacific,1,1,08 May 2023,0,0,1,human rights defenders
29,10 Mar 2023,Indonesia,JAL,IDN 1/2023,Information received concerning a bomb attack perpetrated outside the home of journalist and human rights defender Mr. Victor Mambor.,Asia-Pacific Group,Asia Pacific,1,1,08 May 2023,0,0,1,freedom of opinion and expression
55,20 Feb 2023,Bangladesh,JAL,BGD 3/2023,"Information received concerning the ongoing prosecution of Ms. Rozina Islam, an investigate journalist for Prothom Alo newspaper.",Asia-Pacific Group,Asia Pacific,1,0,NA,1,1,1,freedom of opinion and expression
55,20 Feb 2023,Bangladesh,JAL,BGD 3/2023,"Information received concerning the ongoing prosecution of Ms. Rozina Islam, an investigate journalist for Prothom Alo newspaper.",Asia-Pacific Group,Asia Pacific,1,0,NA,1,1,1,human rights defenders
55,20 Feb 2023,Bangladesh,JAL,BGD 3/2023,"Information received concerning the ongoing prosecution of Ms. Rozina Islam, an investigate journalist for Prothom Alo newspaper.",Asia-Pacific Group,Asia Pacific,1,0,NA,1,1,1,independence of judges and lawyers
55,20 Feb 2023,Bangladesh,JAL,BGD 3/2023,"Information received concerning the ongoing prosecution of Ms. Rozina Islam, an investigate journalist for Prothom Alo newspaper.",Asia-Pacific Group,Asia Pacific,1,0,NA,1,1,1,violence against women and girls
64,14 Feb 2023,Sri Lanka,JOL,LKA 2/2023,"Information received concerning the reported adoption of legal instruments that amend the existing legal framework pertaining to the treatment of persons allegedly involved in drug-related offences, including with regard to the processes of their rehabilitation. Specific reference is made to the Poisons, Opium and Dangerous Drugs (Amendment) Act amending the Poisons, Opium and Dangerous Drugs Ordinance, passed in the Parliament on 19 October 2022, as well as the Bureau of Rehabilitation Bill, passed in the Parliament on 18 January 2023.",Asia-Pacific Group,Asia Pacific,0,0,NA,0,0,0,arbitrary detention
64,14 Feb 2023,Sri Lanka,JOL,LKA 2/2023,"Information received concerning the reported adoption of legal instruments that amend the existing legal framework pertaining to the treatment of persons allegedly involved in drug-related offences, including with regard to the processes of their rehabilitation. Specific reference is made to the Poisons, Opium and Dangerous Drugs (Amendment) Act amending the Poisons, Opium and Dangerous Drugs Ordinance, passed in the Parliament on 19 October 2022, as well as the Bureau of Rehabilitation Bill, passed in the Parliament on 18 January 2023.",Asia-Pacific Group,Asia Pacific,0,0,NA,0,0,0,health
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,indigenous peoples
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,business
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,freedom of opinion and expression
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,freedom of peaceful assembly and of association
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,housing
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,human rights defenders
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,internally displaced persons
67,14 Feb 2023,Indonesia,JAL,IDN 3/2022,"Information received concerning allegations of human rights violations surrounding the Mandalika urban development and tourism project. Previous concerns have been expressed by the Special Procedures regarding the implementation of this project in AL IDN 5/2021 and AL IDN 1/2022. We take this opportunity to thank your Excellency’s Government for its responses to these communications. Nevertheless, we remain extremely concerned about the situation in the Mandalika region.",Asia-Pacific Group,Asia Pacific,1,1,11 Apr 2023,1,0,1,poverty
89,07 Feb 2023,Sri Lanka,JUA,LKA 1/2023,Information received concerning the human rights abuses faced by a group of women victims of trafficking for the purpose of sexual and/or labour exploitation. The women are Sri Lankan nationals who have allegedly been exploited in domestic households in Oman.,Asia-Pacific Group,Asia Pacific,0,3,14 Apr 2023,1,0,0,slavery
89,07 Feb 2023,Sri Lanka,JUA,LKA 1/2023,Information received concerning the human rights abuses faced by a group of women victims of trafficking for the purpose of sexual and/or labour exploitation. The women are Sri Lankan nationals who have allegedly been exploited in domestic households in Oman.,Asia-Pacific Group,Asia Pacific,0,3,14 Apr 2023,1,0,0,trafficking in persons
95,06 Feb 2023,Pakistan,JAL,PAK 1/2023,"Information received allegations that the Centre for Social Justice (CSJ), a civil society organization advocating for human rights in Pakistan, is facing intimidation and harassment in reprisal for its engagement in the fourth cycle of the Universal Periodic Review (UPR) of Pakistan.",Asia-Pacific Group,Asia Pacific,2,0,NA,1,0,1,freedom of peaceful assembly and of association
95,06 Feb 2023,Pakistan,JAL,PAK 1/2023,"Information received allegations that the Centre for Social Justice (CSJ), a civil society organization advocating for human rights in Pakistan, is facing intimidation and harassment in reprisal for its engagement in the fourth cycle of the Universal Periodic Review (UPR) of Pakistan.",Asia-Pacific Group,Asia Pacific,2,0,NA,1,0,1,freedom of opinion and expression
95,06 Feb 2023,Pakistan,JAL,PAK 1/2023,"Information received allegations that the Centre for Social Justice (CSJ), a civil society organization advocating for human rights in Pakistan, is facing intimidation and harassment in reprisal for its engagement in the fourth cycle of the Universal Periodic Review (UPR) of Pakistan.",Asia-Pacific Group,Asia Pacific,2,0,NA,1,0,1,human rights defenders
95,06 Feb 2023,Pakistan,JAL,PAK 1/2023,"Information received allegations that the Centre for Social Justice (CSJ), a civil society organization advocating for human rights in Pakistan, is facing intimidation and harassment in reprisal for its engagement in the fourth cycle of the Universal Periodic Review (UPR) of Pakistan.",Asia-Pacific Group,Asia Pacific,2,0,NA,1,0,1,minority issues
95,06 Feb 2023,Pakistan,JAL,PAK 1/2023,"Information received allegations that the Centre for Social Justice (CSJ), a civil society organization advocating for human rights in Pakistan, is facing intimidation and harassment in reprisal for its engagement in the fourth cycle of the Universal Periodic Review (UPR) of Pakistan.",Asia-Pacific Group,Asia Pacific,2,0,NA,1,0,1,religion or belief
96,06 Feb 2023,China,JAL,CHN 14/2022,"Information received concerning the extensive labor transfer program in the Tibetan Autonomous Region, placing rural workers into low-skilled and low-paid industrial jobs, allegedly eroding Tibetan minority languages, cultural practices, and religion.",Asia-Pacific Group,Asia Pacific,1,1,04 Apr 2023,1,0,0,slavery
96,06 Feb 2023,China,JAL,CHN 14/2022,"Information received concerning the extensive labor transfer program in the Tibetan Autonomous Region, placing rural workers into low-skilled and low-paid industrial jobs, allegedly eroding Tibetan minority languages, cultural practices, and religion.",Asia-Pacific Group,Asia Pacific,1,1,04 Apr 2023,1,0,0,cultural rights
96,06 Feb 2023,China,JAL,CHN 14/2022,"Information received concerning the extensive labor transfer program in the Tibetan Autonomous Region, placing rural workers into low-skilled and low-paid industrial jobs, allegedly eroding Tibetan minority languages, cultural practices, and religion.",Asia-Pacific Group,Asia Pacific,1,1,04 Apr 2023,1,0,0,development
96,06 Feb 2023,China,JAL,CHN 14/2022,"Information received concerning the extensive labor transfer program in the Tibetan Autonomous Region, placing rural workers into low-skilled and low-paid industrial jobs, allegedly eroding Tibetan minority languages, cultural practices, and religion.",Asia-Pacific Group,Asia Pacific,1,1,04 Apr 2023,1,0,0,minority issues
96,06 Feb 2023,China,JAL,CHN 14/2022,"Information received concerning the extensive labor transfer program in the Tibetan Autonomous Region, placing rural workers into low-skilled and low-paid industrial jobs, allegedly eroding Tibetan minority languages, cultural practices, and religion.",Asia-Pacific Group,Asia Pacific,1,1,04 Apr 2023,1,0,0,racism
96,06 Feb 2023,China,JAL,CHN 14/2022,"Information received concerning the extensive labor transfer program in the Tibetan Autonomous Region, placing rural workers into low-skilled and low-paid industrial jobs, allegedly eroding Tibetan minority languages, cultural practices, and religion.",Asia-Pacific Group,Asia Pacific,1,1,04 Apr 2023,1,0,0,trafficking in persons
97,06 Feb 2023,Bangladesh,OL,BGD 2/2023,"Concerns and advice regarding Bangladesh’s proposed Telecommunication Regulatory Commission regulation for digital, social media, and OTT platforms (the “draft Regulation”), which was published online on 3 February 2022.",Asia-Pacific Group,Asia Pacific,0,0,NA,0,0,0,freedom of opinion and expression
101,30 Jan 2023,Nepal,JUA,NPL 6/2022,"Information received concerning the alleged imminent threat of forced evictions and home demolitions without plans for adequate alternative housing in Thapathali informal settlement, along the banks of the Bagmati river, in Kathmandu, which could affect up to some 17,500 people (3,500 families), in the context of implementation of Bagmati River Basin Improvement Project and related projects, financed by the Asian Development Bank. These evictions are planned without the provision of any alternative adequate housing and would render many affected persons homeless, thus threatening their health and right to a life in dignity. Additional 2,000 families living in other informal settlements in Kathmandu may also be targeted for evictions in the future. This would be the second time that residents of Thapathali informal settlement would be subjected to forced evictions, after their homes were initially demolished in 2012.",Asia-Pacific Group,Asia Pacific,17501,0,NA,0,0,0,housing
101,30 Jan 2023,Nepal,JUA,NPL 6/2022,"Information received concerning the alleged imminent threat of forced evictions and home demolitions without plans for adequate alternative housing in Thapathali informal settlement, along the banks of the Bagmati river, in Kathmandu, which could affect up to some 17,500 people (3,500 families), in the context of implementation of Bagmati River Basin Improvement Project and related projects, financed by the Asian Development Bank. These evictions are planned without the provision of any alternative adequate housing and would render many affected persons homeless, thus threatening their health and right to a life in dignity. Additional 2,000 families living in other informal settlements in Kathmandu may also be targeted for evictions in the future. This would be the second time that residents of Thapathali informal settlement would be subjected to forced evictions, after their homes were initially demolished in 2012.",Asia-Pacific Group,Asia Pacific,17501,0,NA,0,0,0,business
101,30 Jan 2023,Nepal,JUA,NPL 6/2022,"Information received concerning the alleged imminent threat of forced evictions and home demolitions without plans for adequate alternative housing in Thapathali informal settlement, along the banks of the Bagmati river, in Kathmandu, which could affect up to some 17,500 people (3,500 families), in the context of implementation of Bagmati River Basin Improvement Project and related projects, financed by the Asian Development Bank. These evictions are planned without the provision of any alternative adequate housing and would render many affected persons homeless, thus threatening their health and right to a life in dignity. Additional 2,000 families living in other informal settlements in Kathmandu may also be targeted for evictions in the future. This would be the second time that residents of Thapathali informal settlement would be subjected to forced evictions, after their homes were initially demolished in 2012.",Asia-Pacific Group,Asia Pacific,17501,0,NA,0,0,0,poverty
107,25 Jan 2023,South Korea,JOL,KOR 6/2022,"Information received concerning attempts to abolish Student Human Rights Ordinances and Basic Human Rights Ordinances in the Seoul Metropolitan Council and the Chungcheongnam-do Council, which prohibit discrimination based on sexual orientation and gender identity. Information was also received regarding announced plans to remove references to 'sexual minority', 'gender equality' and 'reproductive rights' from the school curriculum. 

",Asia-Pacific Group,Asia Pacific,0,0,NA,1,1,0,education
107,25 Jan 2023,South Korea,JOL,KOR 6/2022,"Information received concerning attempts to abolish Student Human Rights Ordinances and Basic Human Rights Ordinances in the Seoul Metropolitan Council and the Chungcheongnam-do Council, which prohibit discrimination based on sexual orientation and gender identity. Information was also received regarding announced plans to remove references to 'sexual minority', 'gender equality' and 'reproductive rights' from the school curriculum. 

",Asia-Pacific Group,Asia Pacific,0,0,NA,1,1,0,health
107,25 Jan 2023,South Korea,JOL,KOR 6/2022,"Information received concerning attempts to abolish Student Human Rights Ordinances and Basic Human Rights Ordinances in the Seoul Metropolitan Council and the Chungcheongnam-do Council, which prohibit discrimination based on sexual orientation and gender identity. Information was also received regarding announced plans to remove references to 'sexual minority', 'gender equality' and 'reproductive rights' from the school curriculum. 

",Asia-Pacific Group,Asia Pacific,0,0,NA,1,1,0,sexual orientation and gender identity
107,25 Jan 2023,South Korea,JOL,KOR 6/2022,"Information received concerning attempts to abolish Student Human Rights Ordinances and Basic Human Rights Ordinances in the Seoul Metropolitan Council and the Chungcheongnam-do Council, which prohibit discrimination based on sexual orientation and gender identity. Information was also received regarding announced plans to remove references to 'sexual minority', 'gender equality' and 'reproductive rights' from the school curriculum. 

",Asia-Pacific Group,Asia Pacific,0,0,NA,1,1,0,women and girls
117,20 Jan 2023,Cambodia,JAL,KHM 1/2023,Information received concerning the detention of woman human rights defender Chhim Sithar upon her return to Cambodia.,Asia-Pacific Group,Asia Pacific,1,0,NA,0,0,1,human rights defenders
117,20 Jan 2023,Cambodia,JAL,KHM 1/2023,Information received concerning the detention of woman human rights defender Chhim Sithar upon her return to Cambodia.,Asia-Pacific Group,Asia Pacific,1,0,NA,0,0,1,arbitrary detention
117,20 Jan 2023,Cambodia,JAL,KHM 1/2023,Information received concerning the detention of woman human rights defender Chhim Sithar upon her return to Cambodia.,Asia-Pacific Group,Asia Pacific,1,0,NA,0,0,1,freedom of peaceful assembly and of association
119,17 Jan 2023,Bangladesh,JUA,BGD 1/2023,"Information received concerning harassment and death threats against Mr. Shahanur Islam, a lawyer, allegedly for his legitimate activities in exercise of the legal profession.",Asia-Pacific Group,Asia Pacific,1,0,NA,1,0,1,independence of judges and lawyers
119,17 Jan 2023,Bangladesh,JUA,BGD 1/2023,"Information received concerning harassment and death threats against Mr. Shahanur Islam, a lawyer, allegedly for his legitimate activities in exercise of the legal profession.",Asia-Pacific Group,Asia Pacific,1,0,NA,1,0,1,sexual orientation and gender identity
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,freedom of peaceful assembly and of association
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,arbitrary detention
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,disappearances
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,executions
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,food
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,foreign debt
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,freedom of opinion and expression
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,international order
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,terrorism
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,truth
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,justice
120,16 Jan 2023,Sri Lanka,JAL,LKA 5/2022,"Information received concerning the continuing use of excessive force against protesters participating in ongoing demonstrations in August and September 2022. The demonstrations are in response to the previous use of excessive force by security forces against protesters, as well as the continuing economic and financial issues arising from fiscal mismanagement of the debt crisis in Sri Lanka",Asia-Pacific Group,Asia Pacific,3,0,NA,0,0,0,reparation and guarantees of non-recurrence
