country,year,status,country_iso,freedom_status,sub_indicator,score,sub_indicator_text,sub_index_group
Bangladesh,2021,PF,BGD,Partly free,a3,3,Government restrictions,Obstructions to access
Bangladesh,2021,PF,BGD,Partly free,a4,5,Service provider diversity,Obstructions to access
Bangladesh,2021,PF,BGD,Partly free,a5,1,Regulatory failure,Obstructions to access
Bangladesh,2021,PF,BGD,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Bangladesh,2021,PF,BGD,Partly free,b1,3,Blocked content,Limits on content
Bangladesh,2021,PF,BGD,Partly free,b2,2,Forced content deletion,Limits on content
Bangladesh,2021,PF,BGD,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Bangladesh,2021,PF,BGD,Partly free,b4,1,Self-censorship,Limits on content
Bangladesh,2021,PF,BGD,Partly free,b5,2,Information control and manipulation,Limits on content
Bangladesh,2021,PF,BGD,Partly free,b6,2,Constraints on publishing,Limits on content
Bangladesh,2021,PF,BGD,Partly free,b7,3,Lack diversity and reliability,Limits on content
Bangladesh,2021,PF,BGD,Partly free,b8,3,Constraints on communities,Limits on content
Bangladesh,2021,PF,BGD,Partly free,b_limits_on_content,17,Limits on content,aggregation
Bangladesh,2021,PF,BGD,Partly free,c1,2,Legal protections,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c2,0,Criminalised online activities,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c3,2,Individuals penalised,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c4,2,Restricted anonymous communication,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c5,1,State infringement of privacy,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c6,2,Data monitoring and retention,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c7,1,Extralegal intimidation,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c8,1,Cyberattacks,Violation of user rights
Bangladesh,2021,PF,BGD,Partly free,c_violations_of_user_rights,11,Violations of user rights,aggregation
Bangladesh,2021,PF,BGD,Partly free,total_country_score,40,Country Score,aggregation
Bangladesh,2020,PF,BGD,Partly free,a1,3,Infrastructural limitations,Obstructions to access
Bangladesh,2020,PF,BGD,Partly free,a2,1,Internet accesibility,Obstructions to access
Bangladesh,2020,PF,BGD,Partly free,a3,3,Government restrictions,Obstructions to access
Bangladesh,2020,PF,BGD,Partly free,a4,5,Service provider diversity,Obstructions to access
Bangladesh,2020,PF,BGD,Partly free,a5,1,Regulatory failure,Obstructions to access
Bangladesh,2020,PF,BGD,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Bangladesh,2020,PF,BGD,Partly free,b1,3,Blocked content,Limits on content
Bangladesh,2020,PF,BGD,Partly free,b2,2,Forced content deletion,Limits on content
Bangladesh,2020,PF,BGD,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Bangladesh,2020,PF,BGD,Partly free,b4,1,Self-censorship,Limits on content
Bangladesh,2020,PF,BGD,Partly free,b5,2,Information control and manipulation,Limits on content
Bangladesh,2020,PF,BGD,Partly free,b6,2,Constraints on publishing,Limits on content
Bangladesh,2020,PF,BGD,Partly free,b7,3,Lack diversity and reliability,Limits on content
Bangladesh,2020,PF,BGD,Partly free,b8,3,Constraints on communities,Limits on content
Bangladesh,2020,PF,BGD,Partly free,b_limits_on_content,17,Limits on content,aggregation
Bangladesh,2020,PF,BGD,Partly free,c1,2,Legal protections,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c2,0,Criminalised online activities,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c3,2,Individuals penalised,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c4,2,Restricted anonymous communication,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c5,2,State infringement of privacy,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c6,2,Data monitoring and retention,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c7,1,Extralegal intimidation,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c8,1,Cyberattacks,Violation of user rights
Bangladesh,2020,PF,BGD,Partly free,c_violations_of_user_rights,12,Violations of user rights,aggregation
Bangladesh,2020,PF,BGD,Partly free,total_country_score,42,Country Score,aggregation
Bangladesh,2019,PF,BGD,Partly free,a1,3,Infrastructural limitations,Obstructions to access
Bangladesh,2019,PF,BGD,Partly free,a2,1,Internet accesibility,Obstructions to access
Bangladesh,2019,PF,BGD,Partly free,a3,3,Government restrictions,Obstructions to access
Bangladesh,2019,PF,BGD,Partly free,a4,5,Service provider diversity,Obstructions to access
Bangladesh,2019,PF,BGD,Partly free,a5,1,Regulatory failure,Obstructions to access
Bangladesh,2019,PF,BGD,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Bangladesh,2019,PF,BGD,Partly free,b1,2,Blocked content,Limits on content
Bangladesh,2019,PF,BGD,Partly free,b2,2,Forced content deletion,Limits on content
Bangladesh,2019,PF,BGD,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Bangladesh,2019,PF,BGD,Partly free,b4,1,Self-censorship,Limits on content
Bangladesh,2019,PF,BGD,Partly free,b5,3,Information control and manipulation,Limits on content
Bangladesh,2019,PF,BGD,Partly free,b6,2,Constraints on publishing,Limits on content
Bangladesh,2019,PF,BGD,Partly free,b7,3,Lack diversity and reliability,Limits on content
Bangladesh,2019,PF,BGD,Partly free,b8,3,Constraints on communities,Limits on content
Bangladesh,2019,PF,BGD,Partly free,b_limits_on_content,17,Limits on content,aggregation
Bangladesh,2019,PF,BGD,Partly free,c1,2,Legal protections,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c2,0,Criminalised online activities,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c3,2,Individuals penalised,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c4,2,Restricted anonymous communication,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c5,2,State infringement of privacy,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c6,2,Data monitoring and retention,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c7,2,Extralegal intimidation,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c8,2,Cyberattacks,Violation of user rights
Bangladesh,2019,PF,BGD,Partly free,c_violations_of_user_rights,14,Violations of user rights,aggregation
Bangladesh,2019,PF,BGD,Partly free,total_country_score,44,Country Score,aggregation
Bangladesh,2018,PF,BGD,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Bangladesh,2018,PF,BGD,Partly free,b_limits_on_content,21,Limits on content,aggregation
Bangladesh,2018,PF,BGD,Partly free,c_violations_of_user_rights,15,Violations of user rights,aggregation
Bangladesh,2018,PF,BGD,Partly free,total_country_score,49,Country Score,aggregation
Bangladesh,2017,PF,BGD,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Bangladesh,2017,PF,BGD,Partly free,b_limits_on_content,20,Limits on content,aggregation
Bangladesh,2017,PF,BGD,Partly free,c_violations_of_user_rights,14,Violations of user rights,aggregation
Bangladesh,2017,PF,BGD,Partly free,total_country_score,46,Country Score,aggregation
Bangladesh,2016,PF,BGD,Partly free,a_obstacles_to_access,11,Obstacles to access,aggregation
Bangladesh,2016,PF,BGD,Partly free,b_limits_on_content,21,Limits on content,aggregation
Bangladesh,2016,PF,BGD,Partly free,c_violations_of_user_rights,12,Violations of user rights,aggregation
Bangladesh,2016,PF,BGD,Partly free,total_country_score,44,Country Score,aggregation
Bangladesh,2015,PF,BGD,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Bangladesh,2015,PF,BGD,Partly free,b_limits_on_content,23,Limits on content,aggregation
Bangladesh,2015,PF,BGD,Partly free,c_violations_of_user_rights,13,Violations of user rights,aggregation
Bangladesh,2015,PF,BGD,Partly free,total_country_score,49,Country Score,aggregation
Bangladesh,2014,PF,BGD,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Bangladesh,2014,PF,BGD,Partly free,b_limits_on_content,23,Limits on content,aggregation
Bangladesh,2014,PF,BGD,Partly free,c_violations_of_user_rights,15,Violations of user rights,aggregation
Bangladesh,2014,PF,BGD,Partly free,total_country_score,51,Country Score,aggregation
Bangladesh,2013,PF,BGD,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Bangladesh,2013,PF,BGD,Partly free,b_limits_on_content,23,Limits on content,aggregation
Bangladesh,2013,PF,BGD,Partly free,c_violations_of_user_rights,16,Violations of user rights,aggregation
Bangladesh,2013,PF,BGD,Partly free,total_country_score,51,Country Score,aggregation
Cambodia,2023,PF,KHM,Partly free,a1,4,Infrastructural limitations,Obstructions to access
Cambodia,2023,PF,KHM,Partly free,a2,1,Internet accesibility,Obstructions to access
Cambodia,2023,PF,KHM,Partly free,a3,4,Government restrictions,Obstructions to access
Cambodia,2023,PF,KHM,Partly free,a4,4,Service provider diversity,Obstructions to access
Cambodia,2023,PF,KHM,Partly free,a5,0,Regulatory failure,Obstructions to access
Cambodia,2023,PF,KHM,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Cambodia,2023,PF,KHM,Partly free,b1,4,Blocked content,Limits on content
Cambodia,2023,PF,KHM,Partly free,b2,1,Forced content deletion,Limits on content
Cambodia,2023,PF,KHM,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Cambodia,2023,PF,KHM,Partly free,b4,1,Self-censorship,Limits on content
Cambodia,2023,PF,KHM,Partly free,b5,2,Information control and manipulation,Limits on content
Cambodia,2023,PF,KHM,Partly free,b6,2,Constraints on publishing,Limits on content
Cambodia,2023,PF,KHM,Partly free,b7,2,Lack diversity and reliability,Limits on content
Cambodia,2023,PF,KHM,Partly free,b8,4,Constraints on communities,Limits on content
Cambodia,2023,PF,KHM,Partly free,b_limits_on_content,17,Limits on content,aggregation
Cambodia,2023,PF,KHM,Partly free,c1,1,Legal protections,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c2,1,Criminalised online activities,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c3,2,Individuals penalised,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c4,3,Restricted anonymous communication,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c5,2,State infringement of privacy,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c6,1,Data monitoring and retention,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c7,2,Extralegal intimidation,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c8,2,Cyberattacks,Violation of user rights
Cambodia,2023,PF,KHM,Partly free,c_violations_of_user_rights,14,Violations of user rights,aggregation
Cambodia,2023,PF,KHM,Partly free,total_country_score,44,Country Score,aggregation
Cambodia,2022,PF,KHM,Partly free,a1,4,Infrastructural limitations,Obstructions to access
Cambodia,2022,PF,KHM,Partly free,a2,1,Internet accesibility,Obstructions to access
Cambodia,2022,PF,KHM,Partly free,a3,4,Government restrictions,Obstructions to access
Cambodia,2022,PF,KHM,Partly free,a4,4,Service provider diversity,Obstructions to access
Cambodia,2022,PF,KHM,Partly free,a5,0,Regulatory failure,Obstructions to access
Cambodia,2022,PF,KHM,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Cambodia,2022,PF,KHM,Partly free,b1,4,Blocked content,Limits on content
Cambodia,2022,PF,KHM,Partly free,b2,1,Forced content deletion,Limits on content
Cambodia,2022,PF,KHM,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Cambodia,2022,PF,KHM,Partly free,b4,1,Self-censorship,Limits on content
Cambodia,2022,PF,KHM,Partly free,b5,2,Information control and manipulation,Limits on content
Cambodia,2022,PF,KHM,Partly free,b6,2,Constraints on publishing,Limits on content
Cambodia,2022,PF,KHM,Partly free,b7,3,Lack diversity and reliability,Limits on content
Cambodia,2022,PF,KHM,Partly free,b8,4,Constraints on communities,Limits on content
Cambodia,2022,PF,KHM,Partly free,b_limits_on_content,18,Limits on content,aggregation
Cambodia,2022,PF,KHM,Partly free,c1,1,Legal protections,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c2,1,Criminalised online activities,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c3,1,Individuals penalised,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c4,3,Restricted anonymous communication,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c5,2,State infringement of privacy,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c6,1,Data monitoring and retention,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c7,2,Extralegal intimidation,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c8,1,Cyberattacks,Violation of user rights
Cambodia,2022,PF,KHM,Partly free,c_violations_of_user_rights,12,Violations of user rights,aggregation
Cambodia,2022,PF,KHM,Partly free,total_country_score,43,Country Score,aggregation
Cambodia,2021,PF,KHM,Partly free,a1,4,Infrastructural limitations,Obstructions to access
Cambodia,2021,PF,KHM,Partly free,a2,1,Internet accesibility,Obstructions to access
Cambodia,2021,PF,KHM,Partly free,a3,4,Government restrictions,Obstructions to access
Cambodia,2021,PF,KHM,Partly free,a4,4,Service provider diversity,Obstructions to access
Cambodia,2021,PF,KHM,Partly free,a5,0,Regulatory failure,Obstructions to access
Cambodia,2021,PF,KHM,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Cambodia,2021,PF,KHM,Partly free,b1,4,Blocked content,Limits on content
Cambodia,2021,PF,KHM,Partly free,b2,1,Forced content deletion,Limits on content
Cambodia,2021,PF,KHM,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Cambodia,2021,PF,KHM,Partly free,b4,1,Self-censorship,Limits on content
Cambodia,2021,PF,KHM,Partly free,b5,2,Information control and manipulation,Limits on content
Cambodia,2021,PF,KHM,Partly free,b6,2,Constraints on publishing,Limits on content
Cambodia,2021,PF,KHM,Partly free,b7,3,Lack diversity and reliability,Limits on content
Cambodia,2021,PF,KHM,Partly free,b8,4,Constraints on communities,Limits on content
Cambodia,2021,PF,KHM,Partly free,b_limits_on_content,18,Limits on content,aggregation
Cambodia,2021,PF,KHM,Partly free,c1,1,Legal protections,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c2,1,Criminalised online activities,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c3,1,Individuals penalised,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c4,3,Restricted anonymous communication,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c5,2,State infringement of privacy,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c6,1,Data monitoring and retention,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c7,2,Extralegal intimidation,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c8,1,Cyberattacks,Violation of user rights
Cambodia,2021,PF,KHM,Partly free,c_violations_of_user_rights,12,Violations of user rights,aggregation
Cambodia,2021,PF,KHM,Partly free,total_country_score,43,Country Score,aggregation
Cambodia,2020,PF,KHM,Partly free,a1,3,Infrastructural limitations,Obstructions to access
Cambodia,2020,PF,KHM,Partly free,a2,1,Internet accesibility,Obstructions to access
Cambodia,2020,PF,KHM,Partly free,a3,4,Government restrictions,Obstructions to access
Cambodia,2020,PF,KHM,Partly free,a4,4,Service provider diversity,Obstructions to access
Cambodia,2020,PF,KHM,Partly free,a5,0,Regulatory failure,Obstructions to access
Cambodia,2020,PF,KHM,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Cambodia,2020,PF,KHM,Partly free,b1,4,Blocked content,Limits on content
Cambodia,2020,PF,KHM,Partly free,b2,1,Forced content deletion,Limits on content
Cambodia,2020,PF,KHM,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Cambodia,2020,PF,KHM,Partly free,b4,1,Self-censorship,Limits on content
Cambodia,2020,PF,KHM,Partly free,b5,2,Information control and manipulation,Limits on content
Cambodia,2020,PF,KHM,Partly free,b6,2,Constraints on publishing,Limits on content
Cambodia,2020,PF,KHM,Partly free,b7,3,Lack diversity and reliability,Limits on content
Cambodia,2020,PF,KHM,Partly free,b8,4,Constraints on communities,Limits on content
Cambodia,2020,PF,KHM,Partly free,b_limits_on_content,18,Limits on content,aggregation
Cambodia,2020,PF,KHM,Partly free,c1,1,Legal protections,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c2,1,Criminalised online activities,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c3,1,Individuals penalised,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c4,3,Restricted anonymous communication,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c5,2,State infringement of privacy,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c6,1,Data monitoring and retention,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c7,3,Extralegal intimidation,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c8,1,Cyberattacks,Violation of user rights
Cambodia,2020,PF,KHM,Partly free,c_violations_of_user_rights,13,Violations of user rights,aggregation
Cambodia,2020,PF,KHM,Partly free,total_country_score,43,Country Score,aggregation
Cambodia,2019,PF,KHM,Partly free,a1,3,Infrastructural limitations,Obstructions to access
Cambodia,2019,PF,KHM,Partly free,a2,1,Internet accesibility,Obstructions to access
Cambodia,2019,PF,KHM,Partly free,a3,4,Government restrictions,Obstructions to access
Cambodia,2019,PF,KHM,Partly free,a4,4,Service provider diversity,Obstructions to access
Cambodia,2019,PF,KHM,Partly free,a5,0,Regulatory failure,Obstructions to access
Cambodia,2019,PF,KHM,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Cambodia,2019,PF,KHM,Partly free,b1,3,Blocked content,Limits on content
Cambodia,2019,PF,KHM,Partly free,b2,2,Forced content deletion,Limits on content
Cambodia,2019,PF,KHM,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Cambodia,2019,PF,KHM,Partly free,b4,1,Self-censorship,Limits on content
Cambodia,2019,PF,KHM,Partly free,b5,2,Information control and manipulation,Limits on content
Cambodia,2019,PF,KHM,Partly free,b6,2,Constraints on publishing,Limits on content
Cambodia,2019,PF,KHM,Partly free,b7,3,Lack diversity and reliability,Limits on content
Cambodia,2019,PF,KHM,Partly free,b8,4,Constraints on communities,Limits on content
Cambodia,2019,PF,KHM,Partly free,b_limits_on_content,18,Limits on content,aggregation
Cambodia,2019,PF,KHM,Partly free,c1,1,Legal protections,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c2,1,Criminalised online activities,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c3,1,Individuals penalised,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c4,3,Restricted anonymous communication,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c5,2,State infringement of privacy,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c6,1,Data monitoring and retention,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c7,3,Extralegal intimidation,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c8,1,Cyberattacks,Violation of user rights
Cambodia,2019,PF,KHM,Partly free,c_violations_of_user_rights,13,Violations of user rights,aggregation
Cambodia,2019,PF,KHM,Partly free,total_country_score,43,Country Score,aggregation
Cambodia,2018,PF,KHM,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Cambodia,2018,PF,KHM,Partly free,b_limits_on_content,19,Limits on content,aggregation
Cambodia,2018,PF,KHM,Partly free,c_violations_of_user_rights,14,Violations of user rights,aggregation
Cambodia,2018,PF,KHM,Partly free,total_country_score,45,Country Score,aggregation
Cambodia,2017,PF,KHM,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Cambodia,2017,PF,KHM,Partly free,b_limits_on_content,20,Limits on content,aggregation
Cambodia,2017,PF,KHM,Partly free,c_violations_of_user_rights,16,Violations of user rights,aggregation
Cambodia,2017,PF,KHM,Partly free,total_country_score,48,Country Score,aggregation
Cambodia,2016,PF,KHM,Partly free,a_obstacles_to_access,10,Obstacles to access,aggregation
Cambodia,2016,PF,KHM,Partly free,b_limits_on_content,20,Limits on content,aggregation
Cambodia,2016,PF,KHM,Partly free,c_violations_of_user_rights,18,Violations of user rights,aggregation
Cambodia,2016,PF,KHM,Partly free,total_country_score,48,Country Score,aggregation
Cambodia,2015,PF,KHM,Partly free,a_obstacles_to_access,11,Obstacles to access,aggregation
Cambodia,2015,PF,KHM,Partly free,b_limits_on_content,20,Limits on content,aggregation
Cambodia,2015,PF,KHM,Partly free,c_violations_of_user_rights,21,Violations of user rights,aggregation
Cambodia,2015,PF,KHM,Partly free,total_country_score,52,Country Score,aggregation
Cambodia,2014,PF,KHM,Partly free,a_obstacles_to_access,11,Obstacles to access,aggregation
Cambodia,2014,PF,KHM,Partly free,b_limits_on_content,20,Limits on content,aggregation
Cambodia,2014,PF,KHM,Partly free,c_violations_of_user_rights,22,Violations of user rights,aggregation
Cambodia,2014,PF,KHM,Partly free,total_country_score,53,Country Score,aggregation
Cambodia,2013,PF,KHM,Partly free,a_obstacles_to_access,11,Obstacles to access,aggregation
Cambodia,2013,PF,KHM,Partly free,b_limits_on_content,20,Limits on content,aggregation
Cambodia,2013,PF,KHM,Partly free,c_violations_of_user_rights,22,Violations of user rights,aggregation
Cambodia,2013,PF,KHM,Partly free,total_country_score,53,Country Score,aggregation
China,2023,NF,CHN,Not free,a1,5,Infrastructural limitations,Obstructions to access
China,2023,NF,CHN,Not free,a2,1,Internet accesibility,Obstructions to access
China,2023,NF,CHN,Not free,a3,1,Government restrictions,Obstructions to access
China,2023,NF,CHN,Not free,a4,0,Service provider diversity,Obstructions to access
China,2023,NF,CHN,Not free,a5,0,Regulatory failure,Obstructions to access
China,2023,NF,CHN,Not free,a_obstacles_to_access,7,Obstacles to access,aggregation
China,2023,NF,CHN,Not free,b1,0,Blocked content,Limits on content
China,2023,NF,CHN,Not free,b2,0,Forced content deletion,Limits on content
China,2023,NF,CHN,Not free,b3,0,"Opaque, unacccountable procedures",Limits on content
China,2023,NF,CHN,Not free,b4,0,Self-censorship,Limits on content
China,2023,NF,CHN,Not free,b5,0,Information control and manipulation,Limits on content
China,2023,NF,CHN,Not free,b6,0,Constraints on publishing,Limits on content
China,2023,NF,CHN,Not free,b7,1,Lack diversity and reliability,Limits on content
China,2023,NF,CHN,Not free,b8,1,Constraints on communities,Limits on content
China,2023,NF,CHN,Not free,b_limits_on_content,2,Limits on content,aggregation
China,2023,NF,CHN,Not free,c1,0,Legal protections,Violation of user rights
China,2023,NF,CHN,Not free,c2,0,Criminalised online activities,Violation of user rights
China,2023,NF,CHN,Not free,c3,0,Individuals penalised,Violation of user rights
China,2023,NF,CHN,Not free,c4,0,Restricted anonymous communication,Violation of user rights
China,2023,NF,CHN,Not free,c5,0,State infringement of privacy,Violation of user rights
China,2023,NF,CHN,Not free,c6,0,Data monitoring and retention,Violation of user rights
China,2023,NF,CHN,Not free,c7,0,Extralegal intimidation,Violation of user rights
China,2023,NF,CHN,Not free,c8,0,Cyberattacks,Violation of user rights
China,2023,NF,CHN,Not free,c_violations_of_user_rights,0,Violations of user rights,aggregation
China,2023,NF,CHN,Not free,total_country_score,9,Country Score,aggregation
China,2022,NF,CHN,Not free,a1,5,Infrastructural limitations,Obstructions to access
China,2022,NF,CHN,Not free,a2,1,Internet accesibility,Obstructions to access
