country,year,status,sub_indicator,score,sub_indicator_category,country_iso
Solomon Islands,2024,F,political_rights,28,aggregation,SLB
Solomon Islands,2024,F,civil_liberties,47,aggregation,SLB
Solomon Islands,2024,F,total,75,aggregation,SLB
South Korea,2024,F,electoral_process,11,political_rights,KOR
South Korea,2024,F,pluralism_participation,13,political_rights,KOR
South Korea,2024,F,functioning_government,9,political_rights,KOR
South Korea,2024,F,freedom_of_expression,14,civil_liberties,KOR
South Korea,2024,F,right_to_assembly,11,civil_liberties,KOR
South Korea,2024,F,rule_of_law,12,civil_liberties,KOR
South Korea,2024,F,personal_autonomy,13,civil_liberties,KOR
South Korea,2024,F,political_rights,33,aggregation,KOR
South Korea,2024,F,civil_liberties,50,aggregation,KOR
South Korea,2024,F,total,83,aggregation,KOR
Sri Lanka,2024,PF,electoral_process,9,political_rights,LKA
Sri Lanka,2024,PF,pluralism_participation,9,political_rights,LKA
Sri Lanka,2024,PF,functioning_government,5,political_rights,LKA
Sri Lanka,2024,PF,freedom_of_expression,9,civil_liberties,LKA
Sri Lanka,2024,PF,right_to_assembly,8,civil_liberties,LKA
Sri Lanka,2024,PF,rule_of_law,7,civil_liberties,LKA
Sri Lanka,2024,PF,personal_autonomy,8,civil_liberties,LKA
Sri Lanka,2024,PF,political_rights,22,aggregation,LKA
Sri Lanka,2024,PF,civil_liberties,32,aggregation,LKA
Sri Lanka,2024,PF,total,54,aggregation,LKA
Thailand,2024,PF,electoral_process,3,political_rights,THA
Thailand,2024,PF,pluralism_participation,6,political_rights,THA
Thailand,2024,PF,functioning_government,3,political_rights,THA
Thailand,2024,PF,freedom_of_expression,6,civil_liberties,THA
Thailand,2024,PF,right_to_assembly,3,civil_liberties,THA
Thailand,2024,PF,rule_of_law,5,civil_liberties,THA
Thailand,2024,PF,personal_autonomy,10,civil_liberties,THA
Thailand,2024,PF,political_rights,12,aggregation,THA
Thailand,2024,PF,civil_liberties,24,aggregation,THA
Thailand,2024,PF,total,36,aggregation,THA
Timor-Leste,2024,F,electoral_process,11,political_rights,TLS
Timor-Leste,2024,F,pluralism_participation,14,political_rights,TLS
Timor-Leste,2024,F,functioning_government,8,political_rights,TLS
Timor-Leste,2024,F,freedom_of_expression,14,civil_liberties,TLS
Timor-Leste,2024,F,right_to_assembly,8,civil_liberties,TLS
Timor-Leste,2024,F,rule_of_law,8,civil_liberties,TLS
Timor-Leste,2024,F,personal_autonomy,9,civil_liberties,TLS
Timor-Leste,2024,F,political_rights,33,aggregation,TLS
Timor-Leste,2024,F,civil_liberties,39,aggregation,TLS
Timor-Leste,2024,F,total,72,aggregation,TLS
Vanuatu,2024,F,electoral_process,10,political_rights,VUT
Vanuatu,2024,F,pluralism_participation,15,political_rights,VUT
Vanuatu,2024,F,functioning_government,7,political_rights,VUT
Vanuatu,2024,F,freedom_of_expression,15,civil_liberties,VUT
Vanuatu,2024,F,right_to_assembly,11,civil_liberties,VUT
Vanuatu,2024,F,rule_of_law,13,civil_liberties,VUT
Vanuatu,2024,F,personal_autonomy,11,civil_liberties,VUT
Vanuatu,2024,F,political_rights,32,aggregation,VUT
Vanuatu,2024,F,civil_liberties,50,aggregation,VUT
Vanuatu,2024,F,total,82,aggregation,VUT
Vietnam,2024,NF,electoral_process,0,political_rights,VNM
Vietnam,2024,NF,pluralism_participation,1,political_rights,VNM
Vietnam,2024,NF,functioning_government,3,political_rights,VNM
Vietnam,2024,NF,freedom_of_expression,3,civil_liberties,VNM
Vietnam,2024,NF,right_to_assembly,1,civil_liberties,VNM
Vietnam,2024,NF,rule_of_law,4,civil_liberties,VNM
Vietnam,2024,NF,personal_autonomy,7,civil_liberties,VNM
Vietnam,2024,NF,political_rights,4,aggregation,VNM
Vietnam,2024,NF,civil_liberties,15,aggregation,VNM
Vietnam,2024,NF,total,19,aggregation,VNM
Afghanistan,2023,NF,electoral_process,0,political_rights,AFG
Afghanistan,2023,NF,pluralism_participation,0,political_rights,AFG
Afghanistan,2023,NF,functioning_government,1,political_rights,AFG
Afghanistan,2023,NF,freedom_of_expression,2,civil_liberties,AFG
Afghanistan,2023,NF,right_to_assembly,3,civil_liberties,AFG
Afghanistan,2023,NF,rule_of_law,0,civil_liberties,AFG
Afghanistan,2023,NF,personal_autonomy,2,civil_liberties,AFG
Afghanistan,2023,NF,political_rights,1,aggregation,AFG
Afghanistan,2023,NF,civil_liberties,7,aggregation,AFG
Afghanistan,2023,NF,total,8,aggregation,AFG
Bangladesh,2023,PF,electoral_process,4,political_rights,BGD
Bangladesh,2023,PF,pluralism_participation,7,political_rights,BGD
Bangladesh,2023,PF,functioning_government,4,political_rights,BGD
Bangladesh,2023,PF,freedom_of_expression,6,civil_liberties,BGD
Bangladesh,2023,PF,right_to_assembly,5,civil_liberties,BGD
Bangladesh,2023,PF,rule_of_law,5,civil_liberties,BGD
Bangladesh,2023,PF,personal_autonomy,9,civil_liberties,BGD
Bangladesh,2023,PF,political_rights,15,aggregation,BGD
Bangladesh,2023,PF,civil_liberties,25,aggregation,BGD
Bangladesh,2023,PF,total,40,aggregation,BGD
Bhutan,2023,PF,electoral_process,10,political_rights,BTN
Bhutan,2023,PF,pluralism_participation,12,political_rights,BTN
Bhutan,2023,PF,functioning_government,8,political_rights,BTN
Bhutan,2023,PF,freedom_of_expression,9,civil_liberties,BTN
Bhutan,2023,PF,right_to_assembly,5,civil_liberties,BTN
Bhutan,2023,PF,rule_of_law,9,civil_liberties,BTN
Bhutan,2023,PF,personal_autonomy,9,civil_liberties,BTN
Bhutan,2023,PF,political_rights,29,aggregation,BTN
Bhutan,2023,PF,civil_liberties,32,aggregation,BTN
Bhutan,2023,PF,total,61,aggregation,BTN
Cambodia,2023,NF,electoral_process,1,political_rights,KHM
Cambodia,2023,NF,pluralism_participation,2,political_rights,KHM
Cambodia,2023,NF,functioning_government,2,political_rights,KHM
Cambodia,2023,NF,freedom_of_expression,7,civil_liberties,KHM
Cambodia,2023,NF,right_to_assembly,3,civil_liberties,KHM
Cambodia,2023,NF,rule_of_law,3,civil_liberties,KHM
Cambodia,2023,NF,personal_autonomy,6,civil_liberties,KHM
Cambodia,2023,NF,political_rights,5,aggregation,KHM
Cambodia,2023,NF,civil_liberties,19,aggregation,KHM
Cambodia,2023,NF,total,24,aggregation,KHM
China,2023,NF,electoral_process,0,political_rights,CHN
China,2023,NF,pluralism_participation,0,political_rights,CHN
China,2023,NF,functioning_government,1,political_rights,CHN
China,2023,NF,freedom_of_expression,1,civil_liberties,CHN
China,2023,NF,right_to_assembly,2,civil_liberties,CHN
China,2023,NF,rule_of_law,2,civil_liberties,CHN
China,2023,NF,personal_autonomy,6,civil_liberties,CHN
China,2023,NF,political_rights,-2,aggregation,CHN
China,2023,NF,civil_liberties,11,aggregation,CHN
China,2023,NF,total,9,aggregation,CHN
Fiji,2023,PF,electoral_process,7,political_rights,FJI
Fiji,2023,PF,pluralism_participation,10,political_rights,FJI
Fiji,2023,PF,functioning_government,7,political_rights,FJI
Fiji,2023,PF,freedom_of_expression,11,civil_liberties,FJI
Fiji,2023,PF,right_to_assembly,7,civil_liberties,FJI
Fiji,2023,PF,rule_of_law,7,civil_liberties,FJI
Fiji,2023,PF,personal_autonomy,10,civil_liberties,FJI
Fiji,2023,PF,political_rights,24,aggregation,FJI
Fiji,2023,PF,civil_liberties,35,aggregation,FJI
Fiji,2023,PF,total,59,aggregation,FJI
Hong Kong,2023,PF,electoral_process,0,political_rights,HKG
Hong Kong,2023,PF,pluralism_participation,5,political_rights,HKG
Hong Kong,2023,PF,functioning_government,5,political_rights,HKG
Hong Kong,2023,PF,freedom_of_expression,7,civil_liberties,HKG
Hong Kong,2023,PF,right_to_assembly,3,civil_liberties,HKG
Hong Kong,2023,PF,rule_of_law,9,civil_liberties,HKG
Hong Kong,2023,PF,personal_autonomy,13,civil_liberties,HKG
Hong Kong,2023,PF,political_rights,10,aggregation,HKG
Hong Kong,2023,PF,civil_liberties,32,aggregation,HKG
Hong Kong,2023,PF,total,42,aggregation,HKG
India,2023,PF,electoral_process,12,political_rights,IND
India,2023,PF,pluralism_participation,12,political_rights,IND
India,2023,PF,functioning_government,9,political_rights,IND
India,2023,PF,freedom_of_expression,9,civil_liberties,IND
India,2023,PF,right_to_assembly,7,civil_liberties,IND
India,2023,PF,rule_of_law,8,civil_liberties,IND
India,2023,PF,personal_autonomy,9,civil_liberties,IND
India,2023,PF,political_rights,33,aggregation,IND
India,2023,PF,civil_liberties,33,aggregation,IND
India,2023,PF,total,66,aggregation,IND
Indonesia,2023,PF,electoral_process,11,political_rights,IDN
Indonesia,2023,PF,pluralism_participation,13,political_rights,IDN
Indonesia,2023,PF,functioning_government,6,political_rights,IDN
Indonesia,2023,PF,freedom_of_expression,9,civil_liberties,IDN
Indonesia,2023,PF,right_to_assembly,6,civil_liberties,IDN
Indonesia,2023,PF,rule_of_law,5,civil_liberties,IDN
Indonesia,2023,PF,personal_autonomy,8,civil_liberties,IDN
Indonesia,2023,PF,political_rights,30,aggregation,IDN
Indonesia,2023,PF,civil_liberties,28,aggregation,IDN
Indonesia,2023,PF,total,58,aggregation,IDN
Iran,2023,NF,electoral_process,2,political_rights,IRN
Iran,2023,NF,pluralism_participation,2,political_rights,IRN
Iran,2023,NF,functioning_government,0,political_rights,IRN
Iran,2023,NF,freedom_of_expression,1,civil_liberties,IRN
Iran,2023,NF,right_to_assembly,1,civil_liberties,IRN
Iran,2023,NF,rule_of_law,2,civil_liberties,IRN
Iran,2023,NF,personal_autonomy,4,civil_liberties,IRN
Iran,2023,NF,political_rights,4,aggregation,IRN
Iran,2023,NF,civil_liberties,8,aggregation,IRN
Iran,2023,NF,total,12,aggregation,IRN
Laos,2023,NF,electoral_process,0,political_rights,LAO
Laos,2023,NF,pluralism_participation,0,political_rights,LAO
Laos,2023,NF,functioning_government,2,political_rights,LAO
Laos,2023,NF,freedom_of_expression,3,civil_liberties,LAO
Laos,2023,NF,right_to_assembly,0,civil_liberties,LAO
Laos,2023,NF,rule_of_law,2,civil_liberties,LAO
Laos,2023,NF,personal_autonomy,6,civil_liberties,LAO
Laos,2023,NF,political_rights,2,aggregation,LAO
Laos,2023,NF,civil_liberties,11,aggregation,LAO
Laos,2023,NF,total,13,aggregation,LAO
Malaysia,2023,PF,electoral_process,6,political_rights,MYS
Malaysia,2023,PF,pluralism_participation,10,political_rights,MYS
Malaysia,2023,PF,functioning_government,6,political_rights,MYS
Malaysia,2023,PF,freedom_of_expression,8,civil_liberties,MYS
Malaysia,2023,PF,right_to_assembly,6,civil_liberties,MYS
Malaysia,2023,PF,rule_of_law,8,civil_liberties,MYS
Malaysia,2023,PF,personal_autonomy,9,civil_liberties,MYS
Malaysia,2023,PF,political_rights,22,aggregation,MYS
Malaysia,2023,PF,civil_liberties,31,aggregation,MYS
Malaysia,2023,PF,total,53,aggregation,MYS
Maldives,2023,PF,electoral_process,7,political_rights,MDV
Maldives,2023,PF,pluralism_participation,8,political_rights,MDV
Maldives,2023,PF,functioning_government,4,political_rights,MDV
Maldives,2023,PF,freedom_of_expression,3,civil_liberties,MDV
Maldives,2023,PF,right_to_assembly,5,civil_liberties,MDV
Maldives,2023,PF,rule_of_law,7,civil_liberties,MDV
Maldives,2023,PF,personal_autonomy,7,civil_liberties,MDV
Maldives,2023,PF,political_rights,19,aggregation,MDV
Maldives,2023,PF,civil_liberties,22,aggregation,MDV
Maldives,2023,PF,total,41,aggregation,MDV
Mongolia,2023,F,electoral_process,11,political_rights,MNG
Mongolia,2023,F,pluralism_participation,16,political_rights,MNG
Mongolia,2023,F,functioning_government,9,political_rights,MNG
Mongolia,2023,F,freedom_of_expression,14,civil_liberties,MNG
Mongolia,2023,F,right_to_assembly,11,civil_liberties,MNG
Mongolia,2023,F,rule_of_law,11,civil_liberties,MNG
Mongolia,2023,F,personal_autonomy,12,civil_liberties,MNG
Mongolia,2023,F,political_rights,36,aggregation,MNG
Mongolia,2023,F,civil_liberties,48,aggregation,MNG
Mongolia,2023,F,total,84,aggregation,MNG
Myanmar,2023,NF,electoral_process,0,political_rights,MMR
Myanmar,2023,NF,pluralism_participation,3,political_rights,MMR
Myanmar,2023,NF,functioning_government,1,political_rights,MMR
Myanmar,2023,NF,freedom_of_expression,3,civil_liberties,MMR
Myanmar,2023,NF,right_to_assembly,2,civil_liberties,MMR
Myanmar,2023,NF,rule_of_law,0,civil_liberties,MMR
Myanmar,2023,NF,personal_autonomy,4,civil_liberties,MMR
Myanmar,2023,NF,political_rights,0,aggregation,MMR
Myanmar,2023,NF,civil_liberties,9,aggregation,MMR
Myanmar,2023,NF,total,9,aggregation,MMR
Nepal,2023,PF,electoral_process,10,political_rights,NPL
Nepal,2023,PF,pluralism_participation,11,political_rights,NPL
Nepal,2023,PF,functioning_government,5,political_rights,NPL
Nepal,2023,PF,freedom_of_expression,10,civil_liberties,NPL
Nepal,2023,PF,right_to_assembly,7,civil_liberties,NPL
Nepal,2023,PF,rule_of_law,7,civil_liberties,NPL
Nepal,2023,PF,personal_autonomy,8,civil_liberties,NPL
Nepal,2023,PF,political_rights,26,aggregation,NPL
Nepal,2023,PF,civil_liberties,32,aggregation,NPL
Nepal,2023,PF,total,58,aggregation,NPL
North Korea,2023,NF,electoral_process,0,political_rights,PRK
North Korea,2023,NF,pluralism_participation,0,political_rights,PRK
North Korea,2023,NF,functioning_government,0,political_rights,PRK
North Korea,2023,NF,freedom_of_expression,0,civil_liberties,PRK
North Korea,2023,NF,right_to_assembly,0,civil_liberties,PRK
North Korea,2023,NF,rule_of_law,0,civil_liberties,PRK
North Korea,2023,NF,personal_autonomy,3,civil_liberties,PRK
North Korea,2023,NF,political_rights,0,aggregation,PRK
North Korea,2023,NF,civil_liberties,3,aggregation,PRK
North Korea,2023,NF,total,3,aggregation,PRK
Pakistan,2023,PF,electoral_process,5,political_rights,PAK
Pakistan,2023,PF,pluralism_participation,6,political_rights,PAK
Pakistan,2023,PF,functioning_government,4,political_rights,PAK
Pakistan,2023,PF,freedom_of_expression,6,civil_liberties,PAK
Pakistan,2023,PF,right_to_assembly,6,civil_liberties,PAK
Pakistan,2023,PF,rule_of_law,4,civil_liberties,PAK
Pakistan,2023,PF,personal_autonomy,6,civil_liberties,PAK
Pakistan,2023,PF,political_rights,15,aggregation,PAK
Pakistan,2023,PF,civil_liberties,22,aggregation,PAK
Pakistan,2023,PF,total,37,aggregation,PAK
Papua New Guinea,2023,PF,electoral_process,6,political_rights,PNG
Papua New Guinea,2023,PF,pluralism_participation,13,political_rights,PNG
Papua New Guinea,2023,PF,functioning_government,3,political_rights,PNG
Papua New Guinea,2023,PF,freedom_of_expression,14,civil_liberties,PNG
Papua New Guinea,2023,PF,right_to_assembly,10,civil_liberties,PNG
Papua New Guinea,2023,PF,rule_of_law,7,civil_liberties,PNG
Papua New Guinea,2023,PF,personal_autonomy,8,civil_liberties,PNG
Papua New Guinea,2023,PF,political_rights,22,aggregation,PNG
Papua New Guinea,2023,PF,civil_liberties,39,aggregation,PNG
Papua New Guinea,2023,PF,total,61,aggregation,PNG
Philippines,2023,PF,electoral_process,9,political_rights,PHL
Philippines,2023,PF,pluralism_participation,10,political_rights,PHL
Philippines,2023,PF,functioning_government,6,political_rights,PHL
Philippines,2023,PF,freedom_of_expression,11,civil_liberties,PHL
Philippines,2023,PF,right_to_assembly,7,civil_liberties,PHL
Philippines,2023,PF,rule_of_law,5,civil_liberties,PHL
