dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,duplicate
Population,Population,Kumundhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,997,2,Administrative Islands,Resident Population,0,52482,3.6305167107820946,FALSE
Population,Population,Kuribi,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,492,2,Administrative Islands,Resident Population,0,52482,1.8033322490942245,FALSE
Population,Population,Makunudhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1265,2,Administrative Islands,Resident Population,0,52482,4.600190840945162,FALSE
Population,Population,Naivaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,495,2,Administrative Islands,Resident Population,0,52482,1.814186810252766,FALSE
Population,Population,Nellaidhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1038,2,Administrative Islands,Resident Population,0,52482,3.7788623799488326,FALSE
Population,Population,Neykurendhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,641,2,Administrative Islands,Resident Population,0,52482,2.3424421199684673,FALSE
Population,Population,Nolhivaram,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1985,2,Administrative Islands,Resident Population,0,52482,7.205285518995195,FALSE
Population,Population,Nolhivaramfaru,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1254,2,Administrative Islands,Resident Population,0,52482,4.560390783363842,FALSE
Population,Population,Vaikaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,776,2,Administrative Islands,Resident Population,0,52482,2.8308973721028483,FALSE
Population,Population,Bilehffahi,Shaviyani Atoll,Shaviyani (Sh),3,502,3,Administrative Islands,Resident Population,0,52482,1.839514119622697,FALSE
Population,Population,Feevah,Shaviyani Atoll,Shaviyani (Sh),3,694,3,Administrative Islands,Resident Population,0,52482,2.5342060337693724,FALSE
Population,Population,Feydhoo,Shaviyani Atoll,Shaviyani (Sh),3,854,3,Administrative Islands,Resident Population,0,52482,3.113115962224935,FALSE
Population,Population,Foakaidhoo,Shaviyani Atoll,Shaviyani (Sh),3,1571,3,Administrative Islands,Resident Population,0,52482,5.707356079116426,FALSE
Population,Population,Funadhoo,Shaviyani Atoll,Shaviyani (Sh),3,2255,3,Administrative Islands,Resident Population,0,52482,8.182196023263955,FALSE
Population,Population,Goidhoo,Shaviyani Atoll,Shaviyani (Sh),3,592,3,Administrative Islands,Resident Population,0,52482,2.165150954378951,FALSE
Population,Population,Kaditheemu,Shaviyani Atoll,Shaviyani (Sh),3,1193,3,Administrative Islands,Resident Population,0,52482,4.339681373140159,FALSE
Population,Population,Komandoo,Shaviyani Atoll,Shaviyani (Sh),3,921,3,Administrative Islands,Resident Population,0,52482,3.355534494765702,FALSE
Population,Population,Lhaimagu,Shaviyani Atoll,Shaviyani (Sh),3,684,3,Administrative Islands,Resident Population,0,52482,2.4980241632409,FALSE
Population,Population,Maaugoodhoo,Shaviyani Atoll,Shaviyani (Sh),3,944,3,Administrative Islands,Resident Population,0,52482,3.4387527969811895,FALSE
Population,Population,Maroshi,Shaviyani Atoll,Shaviyani (Sh),3,479,3,Administrative Islands,Resident Population,0,52482,1.7562958174072099,FALSE
Population,Population,Milandhoo,Shaviyani Atoll,Shaviyani (Sh),3,2094,3,Administrative Islands,Resident Population,0,52482,7.5996679077555465,FALSE
Population,Population,Narudhoo,Shaviyani Atoll,Shaviyani (Sh),3,544,3,Administrative Islands,Resident Population,0,52482,1.9914779758422823,FALSE
Population,Population,Noomaraa,Shaviyani Atoll,Shaviyani (Sh),3,371,3,Administrative Islands,Resident Population,0,52482,1.3655316156997048,FALSE
Population,Population,Fodhdhoo,Noonu Atoll,Noonu (N),6,345,6,Administrative Islands,Resident Population,0,52482,1.271458752325676,FALSE
Population,Population,Hebadhoo,Noonu Atoll,Noonu (N),6,638,6,Administrative Islands,Resident Population,0,52482,2.3315875588099253,FALSE
Population,Population,Holhudhoo,Noonu Atoll,Noonu (N),6,1428,6,Administrative Islands,Resident Population,0,52482,5.189955330559267,FALSE
Population,Population,Kedhikolhudhoo,Noonu Atoll,Noonu (N),6,1556,6,Administrative Islands,Resident Population,0,52482,5.653083273323717,FALSE
Population,Population,Kudafari,Noonu Atoll,Noonu (N),6,628,6,Administrative Islands,Resident Population,0,52482,2.295405688281453,FALSE
Population,Population,Landhoo,Noonu Atoll,Noonu (N),6,757,6,Administrative Islands,Resident Population,0,52482,2.7621518180987503,FALSE
Population,Population,Lhohi,Noonu Atoll,Noonu (N),6,692,6,Administrative Islands,Resident Population,0,52482,2.5269696596636777,FALSE
Population,Population,Maafaru,Noonu Atoll,Noonu (N),6,919,6,Administrative Islands,Resident Population,0,52482,3.3482981206600075,FALSE
Population,Population,Maalhendhoo,Noonu Atoll,Noonu (N),6,724,6,Administrative Islands,Resident Population,0,52482,2.6427516453547906,FALSE
Population,Population,Magoodhoo,Noonu Atoll,Noonu (N),6,305,6,Administrative Islands,Resident Population,0,52482,1.1267312702117853,FALSE
Population,Population,Manadhoo,Noonu Atoll,Noonu (N),6,1745,6,Administrative Islands,Resident Population,0,52482,6.3369206263118505,FALSE
Population,Population,Miladhoo,Noonu Atoll,Noonu (N),6,934,6,Administrative Islands,Resident Population,0,52482,3.4025709264527166,FALSE
Population,Population,Velidhoo,Noonu Atoll,Noonu (N),6,1832,6,Administrative Islands,Resident Population,0,52482,6.651702899909563,FALSE
Population,Population,Agolhitheemu,Raa Atoll,Raa (R),7,381,7,Administrative Islands,Resident Population,0,52482,1.4017134862281777,FALSE
Population,Population,Alifushi,Raa Atoll,Raa (R),7,1859,7,Administrative Islands,Resident Population,0,52482,6.749393950336438,FALSE
Population,Population,Dhuvaafaru,Raa Atoll,Raa (R),7,3321,7,Administrative Islands,Resident Population,0,52482,12.039183421599144,FALSE
Population,Population,Fainu,Raa Atoll,Raa (R),7,423,7,Administrative Islands,Resident Population,0,52482,1.553677342447763,FALSE
Population,Population,Hulhudhuffaaru,Raa Atoll,Raa (R),7,1228,7,Administrative Islands,Resident Population,0,52482,4.466317919989813,FALSE
Population,Population,Iguraidhoo,Raa Atoll,Raa (R),7,1278,7,Administrative Islands,Resident Population,0,52482,4.647227272632176,FALSE
Population,Population,Innamaadhoo,Raa Atoll,Raa (R),7,663,7,Administrative Islands,Resident Population,0,52482,2.4220422351311073,FALSE
Population,Population,Kinolhas,Raa Atoll,Raa (R),7,543,7,Administrative Islands,Resident Population,0,52482,1.987859788789435,FALSE
Population,Population,Maakurathu,Raa Atoll,Raa (R),7,956,7,Administrative Islands,Resident Population,0,52482,3.4821710416153566,FALSE
Population,Population,Maduvvari,Raa Atoll,Raa (R),7,1760,7,Administrative Islands,Resident Population,0,52482,6.39119343210456,FALSE
Population,Population,Meedhoo,Raa Atoll,Raa (R),7,1872,7,Administrative Islands,Resident Population,0,52482,6.796430382023454,FALSE
Population,Population,Rasgetheemu,Raa Atoll,Raa (R),7,537,7,Administrative Islands,Resident Population,0,52482,1.9661506664723514,FALSE
Population,Population,Rasmaadhoo,Raa Atoll,Raa (R),7,554,7,Administrative Islands,Resident Population,0,52482,2.0276598463707547,FALSE
Population,Population,Ugoofaaru,Raa Atoll,Raa (R),7,1754,7,Administrative Islands,Resident Population,0,52482,6.3694843097874765,FALSE
Population,Population,Vaadhoo,Raa Atoll,Raa (R),7,452,7,Administrative Islands,Resident Population,0,52482,1.6586047669803337,FALSE
Population,Population,Dharavandhoo,Baa Atoll,Baa (B),4,997,4,Administrative Islands,Resident Population,0,52482,3.6305167107820946,FALSE
Population,Population,Dhonfanu,Baa Atoll,Baa (B),4,398,4,Administrative Islands,Resident Population,0,52482,1.4632226661265813,FALSE
Population,Population,Eydhafushi,Baa Atoll,Baa (B),4,2581,4,Administrative Islands,Resident Population,0,52482,9.361725002492165,FALSE
Population,Population,Fehendhoo,Baa Atoll,Baa (B),4,198,4,Administrative Islands,Resident Population,0,52482,0.7395852555571275,FALSE
Population,Population,Fulhadhoo,Baa Atoll,Baa (B),4,341,4,Administrative Islands,Resident Population,0,52482,1.2569860041142868,FALSE
Population,Population,Goidhoo,Baa Atoll,Baa (B),4,583,4,Administrative Islands,Resident Population,0,52482,2.1325872709033256,FALSE
Population,Population,Hithaadhoo,Baa Atoll,Baa (B),4,744,4,Administrative Islands,Resident Population,0,52482,2.7151153864117354,FALSE
Population,Population,Kamadhoo,Baa Atoll,Baa (B),4,552,4,Administrative Islands,Resident Population,0,52482,2.0204234722650605,FALSE
Population,Population,Kendhoo,Baa Atoll,Baa (B),4,1002,4,Administrative Islands,Resident Population,0,52482,3.648607646046331,FALSE
Population,Population,Kihaadhoo,Baa Atoll,Baa (B),4,481,4,Administrative Islands,Resident Population,0,52482,1.7635321915129043,FALSE
Population,Population,Kudarikilu,Baa Atoll,Baa (B),4,557,4,Administrative Islands,Resident Population,0,52482,2.0385144075292967,FALSE
Population,Population,Maalhoss,Baa Atoll,Baa (B),4,572,4,Administrative Islands,Resident Population,0,52482,2.092787213322006,FALSE
Population,Population,Thulhaadhoo,Baa Atoll,Baa (B),4,1625,4,Administrative Islands,Resident Population,0,52482,5.902738179970179,FALSE
Population,Population,Hinnavaru,Lhaviyani Atoll,Lhaviyani (Lh),5,2286,5,Administrative Islands,Resident Population,0,52482,8.294359821902223,FALSE
Population,Population,Kurendhoo,Lhaviyani Atoll,Lhaviyani (Lh),5,1171,5,Administrative Islands,Resident Population,0,52482,4.260081257977519,FALSE
Population,Population,Naifaru,Lhaviyani Atoll,Lhaviyani (Lh),5,4832,5,Administrative Islands,Resident Population,0,52482,17.506264058451364,FALSE
Population,Population,Olhuvelifushi,Lhaviyani Atoll,Lhaviyani (Lh),5,703,5,Administrative Islands,Resident Population,0,52482,2.5667697172449975,FALSE
Population,Population,Dhiffushi,Kaafu Atoll,Kaafu Atoll,10,1270,10,Administrative Islands,Resident Population,0,52482,4.618281776209399,FALSE
Population,Population,Gaafaru,Kaafu Atoll,Kaafu Atoll,10,1294,10,Administrative Islands,Resident Population,0,52482,4.705118265477733,FALSE
Population,Population,Gulhi,Kaafu Atoll,Kaafu Atoll,10,976,10,Administrative Islands,Resident Population,0,52482,3.5545347826723015,FALSE
Population,Population,Guraidhoo,Kaafu Atoll,Kaafu Atoll,10,1743,10,Administrative Islands,Resident Population,0,52482,6.329684252206156,FALSE
Population,Population,Himmafushi,Kaafu Atoll,Kaafu Atoll,10,2012,10,Administrative Islands,Resident Population,0,52482,7.3029765694220705,FALSE
Population,Population,Huraa,Kaafu Atoll,Kaafu Atoll,10,1654,10,Administrative Islands,Resident Population,0,52482,6.007665604502749,FALSE
Population,Population,Kaashidhoo,Kaafu Atoll,Kaafu Atoll,10,2528,10,Administrative Islands,Resident Population,0,52482,9.16996108869126,FALSE
Population,Population,Maafushi,Kaafu Atoll,Kaafu Atoll,10,4471,10,Administrative Islands,Resident Population,0,52482,16.200098532373502,FALSE
Population,Population,Thulusdhoo,Kaafu Atoll,Kaafu Atoll,10,1801,10,Administrative Islands,Resident Population,0,52482,6.539539101271298,FALSE
Population,Population,Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),9,704,9,Administrative Islands,Resident Population,0,52482,2.570387904297845,FALSE
Population,Population,Feridhoo,Alif Uthuru Buri,Alif Alif (AA),9,544,9,Administrative Islands,Resident Population,0,52482,1.9914779758422823,FALSE
Population,Population,Himendhoo,Alif Uthuru Buri,Alif Alif (AA),9,885,9,Administrative Islands,Resident Population,0,52482,3.2252797608632005,FALSE
Population,Population,Maalhoss,Alif Uthuru Buri,Alif Alif (AA),9,516,9,Administrative Islands,Resident Population,0,52482,1.8901687383625587,FALSE
Population,Population,Mathiveri,Alif Uthuru Buri,Alif Alif (AA),9,878,9,Administrative Islands,Resident Population,0,52482,3.19995245149327,FALSE
Population,Population,Rasdhoo,Alif Uthuru Buri,Alif Alif (AA),9,1282,9,Administrative Islands,Resident Population,0,52482,4.661700020843566,FALSE
Population,Population,Thoddoo,Alif Uthuru Buri,Alif Alif (AA),9,1924,9,Administrative Islands,Resident Population,0,52482,6.9845761087715115,FALSE
Population,Population,Ukulhas,Alif Uthuru Buri,Alif Alif (AA),9,1284,9,Administrative Islands,Resident Population,0,52482,4.66893639494926,FALSE
Population,Population,Dhangethi,Alif Dhekunu Buri,Alif Dhaal (ADh),9,936,9,Administrative Islands,Resident Population,0,52482,3.4098073005584113,FALSE
Population,Population,Dhidhdhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,141,9,Administrative Islands,Resident Population,0,52482,0.5333485935448333,FALSE
Population,Population,Dhigurah,Alif Dhekunu Buri,Alif Dhaal (ADh),9,761,9,Administrative Islands,Resident Population,0,52482,2.776624566310139,FALSE
Population,Population,Fenfushi,Alif Dhekunu Buri,Alif Dhaal (ADh),9,1000,9,Administrative Islands,Resident Population,0,52482,3.641371271940636,FALSE
Population,Population,Hanghghaameedhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,484,9,Administrative Islands,Resident Population,0,52482,1.7743867526714463,FALSE
Population,Population,Kunburudhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,509,9,Administrative Islands,Resident Population,0,52482,1.8648414289926278,FALSE
Population,Population,Maamigili,Alif Dhekunu Buri,Alif Dhaal (ADh),9,2798,9,Administrative Islands,Resident Population,0,52482,10.146871592960023,FALSE
Population,Population,Mahibadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,2580,9,Administrative Islands,Resident Population,0,52482,9.358106815439317,FALSE
Population,Population,Mandhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,418,9,Administrative Islands,Resident Population,0,52482,1.5355864071835266,FALSE
Population,Population,Omadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,913,9,Administrative Islands,Resident Population,0,52482,3.326588998342924,FALSE
Population,Population,Felidhoo,Vaavu Atoll,Vaavu (V),11,620,11,Administrative Islands,Resident Population,0,52482,2.2664601918586746,FALSE
Population,Population,Fulidhoo,Vaavu Atoll,Vaavu (V),11,400,11,Administrative Islands,Resident Population,0,52482,1.4704590402322757,FALSE
Population,Population,Keyodhoo,Vaavu Atoll,Vaavu (V),11,641,11,Administrative Islands,Resident Population,0,52482,2.3424421199684673,FALSE
Population,Population,Rakeedhoo,Vaavu Atoll,Vaavu (V),11,76,11,Administrative Islands,Resident Population,0,52482,0.29816643510976093,FALSE
Population,Population,Thinadhoo,Vaavu Atoll,Vaavu (V),11,258,11,Administrative Islands,Resident Population,0,52482,0.9566764787279637,FALSE
Population,Population,Dhiggaru,Meemu Atoll,Meemu (M),15,1099,15,Administrative Islands,Resident Population,0,52482,3.999571790172516,FALSE
Population,Population,Kolhufushi,Meemu Atoll,Meemu (M),15,793,15,Administrative Islands,Resident Population,0,52482,2.892406552001252,FALSE
Population,Population,Maduvvari,Meemu Atoll,Meemu (M),15,318,15,Administrative Islands,Resident Population,0,52482,1.1737677018987998,FALSE
Population,Population,Mulah,Meemu Atoll,Meemu (M),15,1426,15,Administrative Islands,Resident Population,0,52482,5.182718956453573,FALSE
Population,Population,Muli,Meemu Atoll,Meemu (M),15,949,15,Administrative Islands,Resident Population,0,52482,3.4568437322454253,FALSE
Population,Population,Naalaafushi,Meemu Atoll,Meemu (M),15,430,15,Administrative Islands,Resident Population,0,52482,1.5790046518176937,FALSE
Population,Population,Raimandhoo,Meemu Atoll,Meemu (M),15,171,15,Administrative Islands,Resident Population,0,52482,0.6418942051302513,FALSE
Population,Population,Veyvah,Meemu Atoll,Meemu (M),15,304,15,Administrative Islands,Resident Population,0,52482,1.123113083158938,FALSE
Population,Population,Biledhdhoo,Faafu Atoll,Faafu (F),14,967,14,Administrative Islands,Resident Population,0,52482,3.5219710991966764,FALSE
Population,Population,Dharaboodhoo,Faafu Atoll,Faafu (F),14,455,14,Administrative Islands,Resident Population,0,52482,1.6694593281388754,FALSE
Population,Population,Feeali,Faafu Atoll,Faafu (F),14,922,14,Administrative Islands,Resident Population,0,52482,3.3591526818185495,FALSE
Population,Population,Magoodhoo,Faafu Atoll,Faafu (F),14,702,14,Administrative Islands,Resident Population,0,52482,2.56315153019215,FALSE
Population,Population,Nilandhoo,Faafu Atoll,Faafu (F),14,1823,14,Administrative Islands,Resident Population,0,52482,6.619139216433938,FALSE
Population,Population,Badidhoo,Dhaal Atoll,Dhaalu (Dh),13,629,13,Administrative Islands,Resident Population,0,52482,2.2990238753343,FALSE
Population,Population,Hulhudheli,Dhaal Atoll,Dhaalu (Dh),13,764,13,Administrative Islands,Resident Population,0,52482,2.787479127468681,FALSE
Population,Population,Kudahuvadhoo,Dhaal Atoll,Dhaalu (Dh),13,3131,13,Administrative Islands,Resident Population,0,52482,11.351727881558162,FALSE
Population,Population,Maaeboodhoo,Dhaal Atoll,Dhaalu (Dh),13,679,13,Administrative Islands,Resident Population,0,52482,2.4799332279766633,FALSE
Population,Population,Meedhoo,Dhaal Atoll,Dhaalu (Dh),13,1118,13,Administrative Islands,Resident Population,0,52482,4.068317344176614,FALSE
Population,Population,Ribudhoo,Dhaal Atoll,Dhaalu (Dh),13,316,13,Administrative Islands,Resident Population,0,52482,1.1665313277931053,FALSE
Population,Population,Buruni,Thaa Atoll,Thaa (Th),16,414,16,Administrative Islands,Resident Population,0,52482,1.5211136589721375,FALSE
Population,Population,Dhiyamigili,Thaa Atoll,Thaa (Th),16,649,16,Administrative Islands,Resident Population,0,52482,2.3713876163912455,FALSE
Population,Population,Gaadhiffushi,Thaa Atoll,Thaa (Th),16,317,16,Administrative Islands,Resident Population,0,52482,1.1701495148459524,FALSE
Population,Population,Guraidhoo,Thaa Atoll,Thaa (Th),16,1293,16,Administrative Islands,Resident Population,0,52482,4.7015000784248855,FALSE
Population,Population,Hirilandhoo,Thaa Atoll,Thaa (Th),16,1146,16,Administrative Islands,Resident Population,0,52482,4.169626581656337,FALSE
Population,Population,Kadoodhoo,Thaa Atoll,Thaa (Th),16,456,16,Administrative Islands,Resident Population,0,52482,1.6730775151917228,FALSE
Population,Population,Kibidhoo,Thaa Atoll,Thaa (Th),16,715,16,Administrative Islands,Resident Population,0,52482,2.610187961879165,FALSE
Population,Population,Madifushi,Thaa Atoll,Thaa (Th),16,858,16,Administrative Islands,Resident Population,0,52482,3.1275887104363242,FALSE
Population,Population,Omadhoo,Thaa Atoll,Thaa (Th),16,417,16,Administrative Islands,Resident Population,0,52482,1.5319682201306792,FALSE
Population,Population,Thimarafushi,Thaa Atoll,Thaa (Th),16,1229,16,Administrative Islands,Resident Population,0,52482,4.469936107042661,FALSE
Population,Population,Vandhoo,Thaa Atoll,Thaa (Th),16,364,16,Administrative Islands,Resident Population,0,52482,1.3402043063297742,FALSE
Population,Population,Veymandoo,Thaa Atoll,Thaa (Th),16,1321,16,Administrative Islands,Resident Population,0,52482,4.802809315904609,FALSE
Population,Population,Vilufushi,Thaa Atoll,Thaa (Th),16,1081,16,Administrative Islands,Resident Population,0,52482,3.934444423221265,FALSE
Population,Population,Dhabidhoo,Laamu Atoll,Laamu (L),17,606,17,Administrative Islands,Resident Population,0,52482,2.215805573118813,FALSE
Population,Population,Fonadhoo,Laamu Atoll,Laamu (L),17,2986,17,Administrative Islands,Resident Population,0,52482,10.827090758895308,FALSE
Population,Population,Gamu,Laamu Atoll,Laamu (L),17,4815,17,Administrative Islands,Resident Population,0,52482,17.444754878552963,FALSE
Population,Population,Hithadhoo,Seenu Atoll,Addu (S),21,1108,21,Administrative Islands,Resident Population,0,52482,4.032135473648141,TRUE
Population,Population,Isdhoo,Laamu Atoll,Laamu (L),17,929,17,Administrative Islands,Resident Population,0,52482,3.3844799911884804,FALSE
Population,Population,Kalhaidhoo,Laamu Atoll,Laamu (L),17,655,17,Administrative Islands,Resident Population,0,52482,2.393096738708329,FALSE
Population,Population,Kunahandhoo,Laamu Atoll,Laamu (L),17,601,17,Administrative Islands,Resident Population,0,52482,2.1977146378545767,FALSE
Population,Population,Maabaidhoo,Laamu Atoll,Laamu (L),17,565,17,Administrative Islands,Resident Population,0,52482,2.067459903952075,FALSE
Population,Population,Maamendhoo,Laamu Atoll,Laamu (L),17,879,17,Administrative Islands,Resident Population,0,52482,3.2035706385461173,FALSE
Population,Population,Maavah,Laamu Atoll,Laamu (L),17,1379,17,Administrative Islands,Resident Population,0,52482,5.01266416496975,FALSE
Population,Population,Mundhoo,Laamu Atoll,Laamu (L),17,176,17,Administrative Islands,Resident Population,0,52482,0.6599851403944877,FALSE
Population,Population,Dhaandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),18,1044,18,Administrative Islands,Resident Population,0,52482,3.8005715022659157,FALSE
Population,Population,Dhevvadhoo,Gaaf Alif Atoll,Gaafu Alif (GA),18,599,18,Administrative Islands,Resident Population,0,52482,2.190478263748882,FALSE
Population,Population,Gemanafushi,Gaaf Alif Atoll,Gaafu Alif (GA),18,1318,18,Administrative Islands,Resident Population,0,52482,4.791954754746067,FALSE
Population,Population,Kanduhulhudhoo,Gaaf Alif Atoll,Gaafu Alif (GA),18,619,18,Administrative Islands,Resident Population,0,52482,2.2628420048058273,FALSE
Population,Population,Kodey,Gaaf Alif Atoll,Gaafu Alif (GA),18,328,18,Administrative Islands,Resident Population,0,52482,1.2099495724272724,FALSE
Population,Population,Kolamaafushi,Gaaf Alif Atoll,Gaafu Alif (GA),18,636,18,Administrative Islands,Resident Population,0,52482,2.3243511847042306,FALSE
Population,Population,Maamendhoo,Gaaf Alif Atoll,Gaafu Alif (GA),18,1201,18,Administrative Islands,Resident Population,0,52482,4.368626869562937,FALSE
Population,Population,Nilandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),18,545,18,Administrative Islands,Resident Population,0,52482,1.9950961628951294,FALSE
Population,Population,Viligili,Gaaf Alif Atoll,Gaafu Alif (GA),18,2900,18,Administrative Islands,Resident Population,0,52482,10.515926672350444,FALSE
Population,Population,Fares,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,858,19,Administrative Islands,Resident Population,0,52482,3.1275887104363242,FALSE
Population,Population,Fiyoari,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,637,19,Administrative Islands,Resident Population,0,52482,2.327969371757078,FALSE
Population,Population,Gadhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,1414,19,Administrative Islands,Resident Population,0,52482,5.139300711819405,FALSE
Population,Population,Hoadedhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,885,19,Administrative Islands,Resident Population,0,52482,3.2252797608632005,FALSE
Population,Population,Madeveli,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,1219,19,Administrative Islands,Resident Population,0,52482,4.433754236514188,FALSE
Population,Population,Nadallaa,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,581,19,Administrative Islands,Resident Population,0,52482,2.1253508967976313,FALSE
Population,Population,Rathafandhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,431,19,Administrative Islands,Resident Population,0,52482,1.582622838870541,FALSE
Population,Population,Thinadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,6217,19,Administrative Islands,Resident Population,0,52482,22.517453126644828,FALSE
Population,Population,Vaadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,516,19,Administrative Islands,Resident Population,0,52482,1.8901687383625587,FALSE
Population,Population,Foammulah,Gnaviyani Atoll,Gnaviyani (Gn),20,9177,20,Administrative Islands,Resident Population,0,52482,33.227286803072744,FALSE
Population,Population,Feydhoo,Seenu Atoll,Addu (S),21,4289,21,Administrative Islands,Resident Population,0,52482,15.541588488755298,FALSE
Population,Population,Hithadhoo,Seenu Atoll,Addu (S),21,13759,21,Administrative Islands,Resident Population,0,52482,49.80581987921893,TRUE
Population,Population,Hulhudhoo,Seenu Atoll,Addu (S),21,1182,21,Administrative Islands,Resident Population,0,52482,4.299881315558839,FALSE
Population,Population,Maradhoo,Seenu Atoll,Addu (S),21,2542,21,Administrative Islands,Resident Population,0,52482,9.220615707431122,FALSE
Population,Population,Maradhoo-Feydhoo,Seenu Atoll,Addu (S),21,1398,21,Administrative Islands,Resident Population,0,52482,5.081409718973848,FALSE
Population,Population,Meedhoo,Seenu Atoll,Addu (S),21,1892,21,Administrative Islands,Resident Population,0,52482,6.868794123080399,FALSE
Population,Population,Baarah,Haa Alif Atoll,Haa Alif (HA),1,1053,1,Administrative Islands,Maldivians,0,52482,3.833135185741541,FALSE
Population,Population,Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),1,3126,1,Administrative Islands,Maldivians,0,52482,11.333636946293925,FALSE
Population,Population,Filladhoo,Haa Alif Atoll,Haa Alif (HA),1,529,1,Administrative Islands,Maldivians,0,52482,1.9372051700495732,FALSE
Population,Population,Hoarafushi,Haa Alif Atoll,Haa Alif (HA),1,1654,1,Administrative Islands,Maldivians,0,52482,6.007665604502749,FALSE
Population,Population,Ihavandhoo,Haa Alif Atoll,Haa Alif (HA),1,2699,1,Administrative Islands,Maldivians,0,52482,9.788671074728143,FALSE
