country,year,status,sub_indicator,score,sub_indicator_text,sub_index_group
Bangladesh,2022,PF,b7,3,Lack diversity and reliability,B. Limits on content
Bangladesh,2022,PF,b8,4,Constraints on communities,B. Limits on content
Bangladesh,2022,PF,b_limits_on_content,18,b_limits_on_content,aggregation
Bangladesh,2022,PF,c1,2,Legal protections,C. Violation of user rights
Bangladesh,2022,PF,c2,0,Criminalised online activities,C. Violation of user rights
Bangladesh,2022,PF,c3,2,Individuals penalised,C. Violation of user rights
Bangladesh,2022,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
Bangladesh,2022,PF,c5,1,State infringement of privacy,C. Violation of user rights
Bangladesh,2022,PF,c6,2,Data monitoring and retention,C. Violation of user rights
Bangladesh,2022,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Bangladesh,2022,PF,c8,1,Cyberattacks,C. Violation of user rights
Bangladesh,2022,PF,c_violations_of_user_rights,12,c_violations_of_user_rights,aggregation
Bangladesh,2022,PF,total_country_score,43,total_country_score,aggregation
Bangladesh,2021,PF,a1,2,Infrastructural limitations,A. Obstructions to access
Bangladesh,2021,PF,a2,1,Internet accesibility,A. Obstructions to access
Bangladesh,2021,PF,a3,3,Government restrictions,A. Obstructions to access
Bangladesh,2021,PF,a4,5,Service provider diversity,A. Obstructions to access
Bangladesh,2021,PF,a5,1,Regulatory failure,A. Obstructions to access
Bangladesh,2021,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Bangladesh,2021,PF,b1,3,Blocked content,B. Limits on content
Bangladesh,2021,PF,b2,2,Forced content deletion,B. Limits on content
Bangladesh,2021,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Bangladesh,2021,PF,b4,1,Self-censorship,B. Limits on content
Bangladesh,2021,PF,b5,2,Information control and manipulation,B. Limits on content
Bangladesh,2021,PF,b6,2,Constraints on publishing,B. Limits on content
Bangladesh,2021,PF,b7,3,Lack diversity and reliability,B. Limits on content
Bangladesh,2021,PF,b8,3,Constraints on communities,B. Limits on content
Bangladesh,2021,PF,b_limits_on_content,17,b_limits_on_content,aggregation
Bangladesh,2021,PF,c1,2,Legal protections,C. Violation of user rights
Bangladesh,2021,PF,c2,0,Criminalised online activities,C. Violation of user rights
Bangladesh,2021,PF,c3,2,Individuals penalised,C. Violation of user rights
Bangladesh,2021,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
Bangladesh,2021,PF,c5,1,State infringement of privacy,C. Violation of user rights
Bangladesh,2021,PF,c6,2,Data monitoring and retention,C. Violation of user rights
Bangladesh,2021,PF,c7,1,Extralegal intimidation,C. Violation of user rights
Bangladesh,2021,PF,c8,1,Cyberattacks,C. Violation of user rights
Bangladesh,2021,PF,c_violations_of_user_rights,11,c_violations_of_user_rights,aggregation
Bangladesh,2021,PF,total_country_score,40,total_country_score,aggregation
Bangladesh,2020,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Bangladesh,2020,PF,a2,1,Internet accesibility,A. Obstructions to access
Bangladesh,2020,PF,a3,3,Government restrictions,A. Obstructions to access
Bangladesh,2020,PF,a4,5,Service provider diversity,A. Obstructions to access
Bangladesh,2020,PF,a5,1,Regulatory failure,A. Obstructions to access
Bangladesh,2020,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Bangladesh,2020,PF,b1,3,Blocked content,B. Limits on content
Bangladesh,2020,PF,b2,2,Forced content deletion,B. Limits on content
Bangladesh,2020,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Bangladesh,2020,PF,b4,1,Self-censorship,B. Limits on content
Bangladesh,2020,PF,b5,2,Information control and manipulation,B. Limits on content
Bangladesh,2020,PF,b6,2,Constraints on publishing,B. Limits on content
Bangladesh,2020,PF,b7,3,Lack diversity and reliability,B. Limits on content
Bangladesh,2020,PF,b8,3,Constraints on communities,B. Limits on content
Bangladesh,2020,PF,b_limits_on_content,17,b_limits_on_content,aggregation
Bangladesh,2020,PF,c1,2,Legal protections,C. Violation of user rights
Bangladesh,2020,PF,c2,0,Criminalised online activities,C. Violation of user rights
Bangladesh,2020,PF,c3,2,Individuals penalised,C. Violation of user rights
Bangladesh,2020,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
Bangladesh,2020,PF,c5,2,State infringement of privacy,C. Violation of user rights
Bangladesh,2020,PF,c6,2,Data monitoring and retention,C. Violation of user rights
Bangladesh,2020,PF,c7,1,Extralegal intimidation,C. Violation of user rights
Bangladesh,2020,PF,c8,1,Cyberattacks,C. Violation of user rights
Bangladesh,2020,PF,c_violations_of_user_rights,12,c_violations_of_user_rights,aggregation
Bangladesh,2020,PF,total_country_score,42,total_country_score,aggregation
Bangladesh,2019,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Bangladesh,2019,PF,a2,1,Internet accesibility,A. Obstructions to access
Bangladesh,2019,PF,a3,3,Government restrictions,A. Obstructions to access
Bangladesh,2019,PF,a4,5,Service provider diversity,A. Obstructions to access
Bangladesh,2019,PF,a5,1,Regulatory failure,A. Obstructions to access
Bangladesh,2019,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Bangladesh,2019,PF,b1,2,Blocked content,B. Limits on content
Bangladesh,2019,PF,b2,2,Forced content deletion,B. Limits on content
Bangladesh,2019,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Bangladesh,2019,PF,b4,1,Self-censorship,B. Limits on content
Bangladesh,2019,PF,b5,3,Information control and manipulation,B. Limits on content
Bangladesh,2019,PF,b6,2,Constraints on publishing,B. Limits on content
Bangladesh,2019,PF,b7,3,Lack diversity and reliability,B. Limits on content
Bangladesh,2019,PF,b8,3,Constraints on communities,B. Limits on content
Bangladesh,2019,PF,b_limits_on_content,17,b_limits_on_content,aggregation
Bangladesh,2019,PF,c1,2,Legal protections,C. Violation of user rights
Bangladesh,2019,PF,c2,0,Criminalised online activities,C. Violation of user rights
Bangladesh,2019,PF,c3,2,Individuals penalised,C. Violation of user rights
Bangladesh,2019,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
Bangladesh,2019,PF,c5,2,State infringement of privacy,C. Violation of user rights
Bangladesh,2019,PF,c6,2,Data monitoring and retention,C. Violation of user rights
Bangladesh,2019,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Bangladesh,2019,PF,c8,2,Cyberattacks,C. Violation of user rights
Bangladesh,2019,PF,c_violations_of_user_rights,14,c_violations_of_user_rights,aggregation
Bangladesh,2019,PF,total_country_score,44,total_country_score,aggregation
Bangladesh,2018,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Bangladesh,2018,PF,b_limits_on_content,21,b_limits_on_content,aggregation
Bangladesh,2018,PF,c_violations_of_user_rights,15,c_violations_of_user_rights,aggregation
Bangladesh,2018,PF,total_country_score,49,total_country_score,aggregation
Bangladesh,2017,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Bangladesh,2017,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Bangladesh,2017,PF,c_violations_of_user_rights,14,c_violations_of_user_rights,aggregation
Bangladesh,2017,PF,total_country_score,46,total_country_score,aggregation
Bangladesh,2016,PF,a_obstacles_to_access,11,a_obstacles_to_access,aggregation
Bangladesh,2016,PF,b_limits_on_content,21,b_limits_on_content,aggregation
Bangladesh,2016,PF,c_violations_of_user_rights,12,c_violations_of_user_rights,aggregation
Bangladesh,2016,PF,total_country_score,44,total_country_score,aggregation
Bangladesh,2015,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Bangladesh,2015,PF,b_limits_on_content,23,b_limits_on_content,aggregation
Bangladesh,2015,PF,c_violations_of_user_rights,13,c_violations_of_user_rights,aggregation
Bangladesh,2015,PF,total_country_score,49,total_country_score,aggregation
Bangladesh,2014,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Bangladesh,2014,PF,b_limits_on_content,23,b_limits_on_content,aggregation
Bangladesh,2014,PF,c_violations_of_user_rights,15,c_violations_of_user_rights,aggregation
Bangladesh,2014,PF,total_country_score,51,total_country_score,aggregation
Bangladesh,2013,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Bangladesh,2013,PF,b_limits_on_content,23,b_limits_on_content,aggregation
Bangladesh,2013,PF,c_violations_of_user_rights,16,c_violations_of_user_rights,aggregation
Bangladesh,2013,PF,total_country_score,51,total_country_score,aggregation
Cambodia,2023,PF,a1,4,Infrastructural limitations,A. Obstructions to access
Cambodia,2023,PF,a2,1,Internet accesibility,A. Obstructions to access
Cambodia,2023,PF,a3,4,Government restrictions,A. Obstructions to access
Cambodia,2023,PF,a4,4,Service provider diversity,A. Obstructions to access
Cambodia,2023,PF,a5,0,Regulatory failure,A. Obstructions to access
Cambodia,2023,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Cambodia,2023,PF,b1,4,Blocked content,B. Limits on content
Cambodia,2023,PF,b2,1,Forced content deletion,B. Limits on content
Cambodia,2023,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Cambodia,2023,PF,b4,1,Self-censorship,B. Limits on content
Cambodia,2023,PF,b5,2,Information control and manipulation,B. Limits on content
Cambodia,2023,PF,b6,2,Constraints on publishing,B. Limits on content
Cambodia,2023,PF,b7,2,Lack diversity and reliability,B. Limits on content
Cambodia,2023,PF,b8,4,Constraints on communities,B. Limits on content
Cambodia,2023,PF,b_limits_on_content,17,b_limits_on_content,aggregation
Cambodia,2023,PF,c1,1,Legal protections,C. Violation of user rights
Cambodia,2023,PF,c2,1,Criminalised online activities,C. Violation of user rights
Cambodia,2023,PF,c3,2,Individuals penalised,C. Violation of user rights
Cambodia,2023,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Cambodia,2023,PF,c5,2,State infringement of privacy,C. Violation of user rights
Cambodia,2023,PF,c6,1,Data monitoring and retention,C. Violation of user rights
Cambodia,2023,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Cambodia,2023,PF,c8,2,Cyberattacks,C. Violation of user rights
Cambodia,2023,PF,c_violations_of_user_rights,14,c_violations_of_user_rights,aggregation
Cambodia,2023,PF,total_country_score,44,total_country_score,aggregation
Cambodia,2022,PF,a1,4,Infrastructural limitations,A. Obstructions to access
Cambodia,2022,PF,a2,1,Internet accesibility,A. Obstructions to access
Cambodia,2022,PF,a3,4,Government restrictions,A. Obstructions to access
Cambodia,2022,PF,a4,4,Service provider diversity,A. Obstructions to access
Cambodia,2022,PF,a5,0,Regulatory failure,A. Obstructions to access
Cambodia,2022,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Cambodia,2022,PF,b1,4,Blocked content,B. Limits on content
Cambodia,2022,PF,b2,1,Forced content deletion,B. Limits on content
Cambodia,2022,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Cambodia,2022,PF,b4,1,Self-censorship,B. Limits on content
Cambodia,2022,PF,b5,2,Information control and manipulation,B. Limits on content
Cambodia,2022,PF,b6,2,Constraints on publishing,B. Limits on content
Cambodia,2022,PF,b7,3,Lack diversity and reliability,B. Limits on content
Cambodia,2022,PF,b8,4,Constraints on communities,B. Limits on content
Cambodia,2022,PF,b_limits_on_content,18,b_limits_on_content,aggregation
Cambodia,2022,PF,c1,1,Legal protections,C. Violation of user rights
Cambodia,2022,PF,c2,1,Criminalised online activities,C. Violation of user rights
Cambodia,2022,PF,c3,1,Individuals penalised,C. Violation of user rights
Cambodia,2022,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Cambodia,2022,PF,c5,2,State infringement of privacy,C. Violation of user rights
Cambodia,2022,PF,c6,1,Data monitoring and retention,C. Violation of user rights
Cambodia,2022,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Cambodia,2022,PF,c8,1,Cyberattacks,C. Violation of user rights
Cambodia,2022,PF,c_violations_of_user_rights,12,c_violations_of_user_rights,aggregation
Cambodia,2022,PF,total_country_score,43,total_country_score,aggregation
Cambodia,2021,PF,a1,4,Infrastructural limitations,A. Obstructions to access
Cambodia,2021,PF,a2,1,Internet accesibility,A. Obstructions to access
Cambodia,2021,PF,a3,4,Government restrictions,A. Obstructions to access
Cambodia,2021,PF,a4,4,Service provider diversity,A. Obstructions to access
Cambodia,2021,PF,a5,0,Regulatory failure,A. Obstructions to access
Cambodia,2021,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Cambodia,2021,PF,b1,4,Blocked content,B. Limits on content
Cambodia,2021,PF,b2,1,Forced content deletion,B. Limits on content
Cambodia,2021,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Cambodia,2021,PF,b4,1,Self-censorship,B. Limits on content
Cambodia,2021,PF,b5,2,Information control and manipulation,B. Limits on content
Cambodia,2021,PF,b6,2,Constraints on publishing,B. Limits on content
Cambodia,2021,PF,b7,3,Lack diversity and reliability,B. Limits on content
Cambodia,2021,PF,b8,4,Constraints on communities,B. Limits on content
Cambodia,2021,PF,b_limits_on_content,18,b_limits_on_content,aggregation
Cambodia,2021,PF,c1,1,Legal protections,C. Violation of user rights
Cambodia,2021,PF,c2,1,Criminalised online activities,C. Violation of user rights
Cambodia,2021,PF,c3,1,Individuals penalised,C. Violation of user rights
Cambodia,2021,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Cambodia,2021,PF,c5,2,State infringement of privacy,C. Violation of user rights
Cambodia,2021,PF,c6,1,Data monitoring and retention,C. Violation of user rights
Cambodia,2021,PF,c7,2,Extralegal intimidation,C. Violation of user rights
Cambodia,2021,PF,c8,1,Cyberattacks,C. Violation of user rights
Cambodia,2021,PF,c_violations_of_user_rights,12,c_violations_of_user_rights,aggregation
Cambodia,2021,PF,total_country_score,43,total_country_score,aggregation
Cambodia,2020,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Cambodia,2020,PF,a2,1,Internet accesibility,A. Obstructions to access
Cambodia,2020,PF,a3,4,Government restrictions,A. Obstructions to access
Cambodia,2020,PF,a4,4,Service provider diversity,A. Obstructions to access
Cambodia,2020,PF,a5,0,Regulatory failure,A. Obstructions to access
Cambodia,2020,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Cambodia,2020,PF,b1,4,Blocked content,B. Limits on content
Cambodia,2020,PF,b2,1,Forced content deletion,B. Limits on content
Cambodia,2020,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Cambodia,2020,PF,b4,1,Self-censorship,B. Limits on content
Cambodia,2020,PF,b5,2,Information control and manipulation,B. Limits on content
Cambodia,2020,PF,b6,2,Constraints on publishing,B. Limits on content
Cambodia,2020,PF,b7,3,Lack diversity and reliability,B. Limits on content
Cambodia,2020,PF,b8,4,Constraints on communities,B. Limits on content
Cambodia,2020,PF,b_limits_on_content,18,b_limits_on_content,aggregation
Cambodia,2020,PF,c1,1,Legal protections,C. Violation of user rights
Cambodia,2020,PF,c2,1,Criminalised online activities,C. Violation of user rights
Cambodia,2020,PF,c3,1,Individuals penalised,C. Violation of user rights
Cambodia,2020,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Cambodia,2020,PF,c5,2,State infringement of privacy,C. Violation of user rights
Cambodia,2020,PF,c6,1,Data monitoring and retention,C. Violation of user rights
Cambodia,2020,PF,c7,3,Extralegal intimidation,C. Violation of user rights
Cambodia,2020,PF,c8,1,Cyberattacks,C. Violation of user rights
Cambodia,2020,PF,c_violations_of_user_rights,13,c_violations_of_user_rights,aggregation
Cambodia,2020,PF,total_country_score,43,total_country_score,aggregation
Cambodia,2019,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Cambodia,2019,PF,a2,1,Internet accesibility,A. Obstructions to access
Cambodia,2019,PF,a3,4,Government restrictions,A. Obstructions to access
Cambodia,2019,PF,a4,4,Service provider diversity,A. Obstructions to access
Cambodia,2019,PF,a5,0,Regulatory failure,A. Obstructions to access
Cambodia,2019,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Cambodia,2019,PF,b1,3,Blocked content,B. Limits on content
Cambodia,2019,PF,b2,2,Forced content deletion,B. Limits on content
Cambodia,2019,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Cambodia,2019,PF,b4,1,Self-censorship,B. Limits on content
Cambodia,2019,PF,b5,2,Information control and manipulation,B. Limits on content
Cambodia,2019,PF,b6,2,Constraints on publishing,B. Limits on content
Cambodia,2019,PF,b7,3,Lack diversity and reliability,B. Limits on content
Cambodia,2019,PF,b8,4,Constraints on communities,B. Limits on content
Cambodia,2019,PF,b_limits_on_content,18,b_limits_on_content,aggregation
Cambodia,2019,PF,c1,1,Legal protections,C. Violation of user rights
Cambodia,2019,PF,c2,1,Criminalised online activities,C. Violation of user rights
Cambodia,2019,PF,c3,1,Individuals penalised,C. Violation of user rights
Cambodia,2019,PF,c4,3,Restricted anonymous communication,C. Violation of user rights
Cambodia,2019,PF,c5,2,State infringement of privacy,C. Violation of user rights
Cambodia,2019,PF,c6,1,Data monitoring and retention,C. Violation of user rights
Cambodia,2019,PF,c7,3,Extralegal intimidation,C. Violation of user rights
Cambodia,2019,PF,c8,1,Cyberattacks,C. Violation of user rights
Cambodia,2019,PF,c_violations_of_user_rights,13,c_violations_of_user_rights,aggregation
Cambodia,2019,PF,total_country_score,43,total_country_score,aggregation
Cambodia,2018,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Cambodia,2018,PF,b_limits_on_content,19,b_limits_on_content,aggregation
Cambodia,2018,PF,c_violations_of_user_rights,14,c_violations_of_user_rights,aggregation
Cambodia,2018,PF,total_country_score,45,total_country_score,aggregation
Cambodia,2017,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Cambodia,2017,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Cambodia,2017,PF,c_violations_of_user_rights,16,c_violations_of_user_rights,aggregation
Cambodia,2017,PF,total_country_score,48,total_country_score,aggregation
Cambodia,2016,PF,a_obstacles_to_access,10,a_obstacles_to_access,aggregation
Cambodia,2016,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Cambodia,2016,PF,c_violations_of_user_rights,18,c_violations_of_user_rights,aggregation
Cambodia,2016,PF,total_country_score,48,total_country_score,aggregation
Cambodia,2015,PF,a_obstacles_to_access,11,a_obstacles_to_access,aggregation
Cambodia,2015,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Cambodia,2015,PF,c_violations_of_user_rights,21,c_violations_of_user_rights,aggregation
Cambodia,2015,PF,total_country_score,52,total_country_score,aggregation
Cambodia,2014,PF,a_obstacles_to_access,11,a_obstacles_to_access,aggregation
Cambodia,2014,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Cambodia,2014,PF,c_violations_of_user_rights,22,c_violations_of_user_rights,aggregation
Cambodia,2014,PF,total_country_score,53,total_country_score,aggregation
Cambodia,2013,PF,a_obstacles_to_access,11,a_obstacles_to_access,aggregation
Cambodia,2013,PF,b_limits_on_content,20,b_limits_on_content,aggregation
Cambodia,2013,PF,c_violations_of_user_rights,22,c_violations_of_user_rights,aggregation
Cambodia,2013,PF,total_country_score,53,total_country_score,aggregation
China,2023,NF,a1,5,Infrastructural limitations,A. Obstructions to access
China,2023,NF,a2,1,Internet accesibility,A. Obstructions to access
China,2023,NF,a3,1,Government restrictions,A. Obstructions to access
China,2023,NF,a4,0,Service provider diversity,A. Obstructions to access
China,2023,NF,a5,0,Regulatory failure,A. Obstructions to access
China,2023,NF,a_obstacles_to_access,7,a_obstacles_to_access,aggregation
China,2023,NF,b1,0,Blocked content,B. Limits on content
China,2023,NF,b2,0,Forced content deletion,B. Limits on content
China,2023,NF,b3,0,"Opaque, unacccountable procedures",B. Limits on content
China,2023,NF,b4,0,Self-censorship,B. Limits on content
China,2023,NF,b5,0,Information control and manipulation,B. Limits on content
China,2023,NF,b6,0,Constraints on publishing,B. Limits on content
China,2023,NF,b7,1,Lack diversity and reliability,B. Limits on content
China,2023,NF,b8,1,Constraints on communities,B. Limits on content
China,2023,NF,b_limits_on_content,2,b_limits_on_content,aggregation
China,2023,NF,c1,0,Legal protections,C. Violation of user rights
China,2023,NF,c2,0,Criminalised online activities,C. Violation of user rights
China,2023,NF,c3,0,Individuals penalised,C. Violation of user rights
China,2023,NF,c4,0,Restricted anonymous communication,C. Violation of user rights
China,2023,NF,c5,0,State infringement of privacy,C. Violation of user rights
China,2023,NF,c6,0,Data monitoring and retention,C. Violation of user rights
China,2023,NF,c7,0,Extralegal intimidation,C. Violation of user rights
China,2023,NF,c8,0,Cyberattacks,C. Violation of user rights
China,2023,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2023,NF,total_country_score,9,total_country_score,aggregation
China,2022,NF,a1,5,Infrastructural limitations,A. Obstructions to access
China,2022,NF,a2,1,Internet accesibility,A. Obstructions to access
China,2022,NF,a3,1,Government restrictions,A. Obstructions to access
China,2022,NF,a4,1,Service provider diversity,A. Obstructions to access
China,2022,NF,a5,0,Regulatory failure,A. Obstructions to access
China,2022,NF,a_obstacles_to_access,8,a_obstacles_to_access,aggregation
China,2022,NF,b1,0,Blocked content,B. Limits on content
China,2022,NF,b2,0,Forced content deletion,B. Limits on content
China,2022,NF,b3,0,"Opaque, unacccountable procedures",B. Limits on content
China,2022,NF,b4,0,Self-censorship,B. Limits on content
China,2022,NF,b5,0,Information control and manipulation,B. Limits on content
China,2022,NF,b6,0,Constraints on publishing,B. Limits on content
China,2022,NF,b7,1,Lack diversity and reliability,B. Limits on content
China,2022,NF,b8,1,Constraints on communities,B. Limits on content
China,2022,NF,b_limits_on_content,2,b_limits_on_content,aggregation
China,2022,NF,c1,0,Legal protections,C. Violation of user rights
China,2022,NF,c2,0,Criminalised online activities,C. Violation of user rights
China,2022,NF,c3,0,Individuals penalised,C. Violation of user rights
China,2022,NF,c4,0,Restricted anonymous communication,C. Violation of user rights
China,2022,NF,c5,0,State infringement of privacy,C. Violation of user rights
China,2022,NF,c6,0,Data monitoring and retention,C. Violation of user rights
China,2022,NF,c7,0,Extralegal intimidation,C. Violation of user rights
China,2022,NF,c8,0,Cyberattacks,C. Violation of user rights
China,2022,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2022,NF,total_country_score,10,total_country_score,aggregation
China,2021,NF,a1,5,Infrastructural limitations,A. Obstructions to access
China,2021,NF,a2,1,Internet accesibility,A. Obstructions to access
China,2021,NF,a3,1,Government restrictions,A. Obstructions to access
China,2021,NF,a4,1,Service provider diversity,A. Obstructions to access
China,2021,NF,a5,0,Regulatory failure,A. Obstructions to access
China,2021,NF,a_obstacles_to_access,8,a_obstacles_to_access,aggregation
China,2021,NF,b1,0,Blocked content,B. Limits on content
China,2021,NF,b2,0,Forced content deletion,B. Limits on content
China,2021,NF,b3,0,"Opaque, unacccountable procedures",B. Limits on content
China,2021,NF,b4,0,Self-censorship,B. Limits on content
China,2021,NF,b5,0,Information control and manipulation,B. Limits on content
China,2021,NF,b6,0,Constraints on publishing,B. Limits on content
China,2021,NF,b7,1,Lack diversity and reliability,B. Limits on content
China,2021,NF,b8,1,Constraints on communities,B. Limits on content
China,2021,NF,b_limits_on_content,2,b_limits_on_content,aggregation
China,2021,NF,c1,0,Legal protections,C. Violation of user rights
China,2021,NF,c2,0,Criminalised online activities,C. Violation of user rights
China,2021,NF,c3,0,Individuals penalised,C. Violation of user rights
China,2021,NF,c4,0,Restricted anonymous communication,C. Violation of user rights
China,2021,NF,c5,0,State infringement of privacy,C. Violation of user rights
China,2021,NF,c6,0,Data monitoring and retention,C. Violation of user rights
China,2021,NF,c7,0,Extralegal intimidation,C. Violation of user rights
China,2021,NF,c8,0,Cyberattacks,C. Violation of user rights
China,2021,NF,c_violations_of_user_rights,0,c_violations_of_user_rights,aggregation
China,2021,NF,total_country_score,10,total_country_score,aggregation
China,2020,NF,a1,5,Infrastructural limitations,A. Obstructions to access
China,2020,NF,a2,1,Internet accesibility,A. Obstructions to access
China,2020,NF,a3,1,Government restrictions,A. Obstructions to access
China,2020,NF,a4,1,Service provider diversity,A. Obstructions to access
China,2020,NF,a5,0,Regulatory failure,A. Obstructions to access
China,2020,NF,a_obstacles_to_access,8,a_obstacles_to_access,aggregation
China,2020,NF,b1,0,Blocked content,B. Limits on content
China,2020,NF,b2,0,Forced content deletion,B. Limits on content
China,2020,NF,b3,0,"Opaque, unacccountable procedures",B. Limits on content
China,2020,NF,b4,0,Self-censorship,B. Limits on content
China,2020,NF,b5,0,Information control and manipulation,B. Limits on content
China,2020,NF,b6,0,Constraints on publishing,B. Limits on content
China,2020,NF,b7,1,Lack diversity and reliability,B. Limits on content
China,2020,NF,b8,1,Constraints on communities,B. Limits on content
China,2020,NF,b_limits_on_content,2,b_limits_on_content,aggregation
China,2020,NF,c1,0,Legal protections,C. Violation of user rights
China,2020,NF,c2,0,Criminalised online activities,C. Violation of user rights
China,2020,NF,c3,0,Individuals penalised,C. Violation of user rights
China,2020,NF,c4,0,Restricted anonymous communication,C. Violation of user rights
China,2020,NF,c5,0,State infringement of privacy,C. Violation of user rights
China,2020,NF,c6,0,Data monitoring and retention,C. Violation of user rights
China,2020,NF,c7,0,Extralegal intimidation,C. Violation of user rights
