country,iso3,year,region,rank,standard_error,number_of_sources,lower_ci,upper_ci,index,value
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,Economist Intelligence Unit Country Ratings,19.79276
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,Global Insights Country Risk Ratings,22.45197
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,PRS International Country Risk Guide,33.81205
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,Varieties of Democracy Project,12.33825
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,World Bank CPIA,26.78049
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,World Economic Forum EOS,29.94845
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,World Justice Project Rule of Law Index,22.10661
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,CPI score,24
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,Bertelsmann Foundation Transformation Index,25
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,Economist Intelligence Unit Country Ratings,20
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,PRS International Country Risk Guide,41
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,Varieties of Democracy Project,13
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,World Bank CPIA,27
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,World Economic Forum EOS,33
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,World Justice Project Rule of Law Index,23
Bangladesh,BGD,2022,AP,147,1.927162,8,21.83945,28.16055,CPI score,25
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,Bertelsmann Foundation Transformation Index,24.86647
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,Economist Intelligence Unit Country Ratings,19.79276
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,Global Insights Country Risk Ratings,22.45197
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,PRS International Country Risk Guide,41.12743
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,Varieties of Democracy Project,15.23187
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,World Bank CPIA,26.78049
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,World Economic Forum EOS,29.247
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,World Justice Project Rule of Law Index,24.80145
Bangladesh,BGD,2021,AP,147,1.742484,8,23.13361,28.86639,CPI score,26
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,Bertelsmann Foundation Transformation Index,25
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,Economist Intelligence Unit Country Ratings,20
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,PRS International Country Risk Guide,41
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,Varieties of Democracy Project,17
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,World Bank CPIA,27
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,World Economic Forum EOS,31
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,World Justice Project Rule of Law Index,27
Bangladesh,BGD,2020,AP,146,1.715685,8,23.18628,28.81372,CPI score,26
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,Bertelsmann Foundation Transformation Index,25
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,Economist Intelligence Unit Country Ratings,20
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,PRS International Country Risk Guide,41
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,Varieties of Democracy Project,17
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,World Bank CPIA,27
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,World Economic Forum EOS,31
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,World Justice Project Rule of Law Index,27
Bangladesh,BGD,2019,AP,146,2.617282,8,21.70766,30.29234,CPI score,26
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,Bertelsmann Foundation Transformation Index,25
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,Economist Intelligence Unit Country Ratings,20
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,PRS International Country Risk Guide,41
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,Varieties of Democracy Project,17
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,World Bank CPIA,27
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,World Economic Forum EOS,30
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,World Justice Project Rule of Law Index,26
Bangladesh,BGD,2018,AP,149,2.63,8,22,30,CPI score,26
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,Bertelsmann Foundation Transformation Index,25
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,Economist Intelligence Unit Country Ratings,20
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,PRS International Country Risk Guide,47
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,Varieties of Democracy Project,21
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,World Bank CPIA,27
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,World Economic Forum EOS,35
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,World Justice Project Rule of Law Index,26
Bangladesh,BGD,2017,AP,143,3.19,8,23,33,CPI score,28
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,Bertelsmann Foundation Transformation Index,24
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,Economist Intelligence Unit Country Ratings,19
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,PRS International Country Risk Guide,50
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,World Bank CPIA,24
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,World Economic Forum EOS,17
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,World Justice Project Rule of Law Index,25
Bangladesh,BGD,2016,AP,145,4.13,7,19,33,CPI score,26
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,Bertelsmann Foundation Transformation Index,23
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,Economist Intelligence Unit Country Ratings,21
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,PRS International Country Risk Guide,50
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,World Bank CPIA,23
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,World Economic Forum EOS,19
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,World Justice Project Rule of Law Index,16
Bangladesh,BGD,2015,AP,139,4.300000190734863,7,18,32,CPI score,25
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,Bertelsmann Foundation Transformation Index,23
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,Economist Intelligence Unit Country Ratings,21
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,PRS International Country Risk Guide,50
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,World Bank CPIA,23
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,World Economic Forum EOS,18
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,World Justice Project Rule of Law Index,19
Bangladesh,BGD,2014,AP,145,4.230000019073486,7,18,32,CPI score,25
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,Bertelsmann Foundation Transformation Index,23
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,Economist Intelligence Unit Country Ratings,21
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,Global Insights Country Risk Ratings,32
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,PRS International Country Risk Guide,50
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,World Bank CPIA,23
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,World Economic Forum EOS,21
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,World Justice Project Rule of Law Index,21
Bangladesh,BGD,2013,AP,136,4.1,7,20,34,CPI score,27
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,Bertelsmann Foundation Transformation Index,28
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,Economist Intelligence Unit Country Ratings,21
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,Global Insights Country Risk Ratings,22
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,PRS International Country Risk Guide,50
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,World Bank CPIA,23
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,World Economic Forum EOS,21
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,World Justice Project Rule of Law Index,21
Bangladesh,BGD,2012,AP,144,4.1,7,20,33,CPI score,26
Bhutan,BTN,2023,AP,26,2.179297,4,64.42595,71.57405,Bertelsmann Foundation Transformation Index,68.75114
Bhutan,BTN,2023,AP,26,2.179297,4,64.42595,71.57405,Global Insights Country Risk Ratings,71.02245
Bhutan,BTN,2023,AP,26,2.179297,4,64.42595,71.57405,Varieties of Democracy Project,70.21066
Bhutan,BTN,2023,AP,26,2.179297,4,64.42595,71.57405,World Bank CPIA,60.10603
Bhutan,BTN,2023,AP,26,2.179297,4,64.42595,71.57405,CPI score,68
Bhutan,BTN,2022,AP,25,2.179297,4,64.42595,71.57405,Bertelsmann Foundation Transformation Index,69
Bhutan,BTN,2022,AP,25,2.179297,4,64.42595,71.57405,Global Insights Country Risk Ratings,71
Bhutan,BTN,2022,AP,25,2.179297,4,64.42595,71.57405,Varieties of Democracy Project,70
Bhutan,BTN,2022,AP,25,2.179297,4,64.42595,71.57405,World Bank CPIA,60
Bhutan,BTN,2022,AP,25,2.179297,4,64.42595,71.57405,CPI score,68
Bhutan,BTN,2021,AP,25,2.239852,4,64.31544,71.68456,Bertelsmann Foundation Transformation Index,68.75114
Bhutan,BTN,2021,AP,25,2.239852,4,64.31544,71.68456,Global Insights Country Risk Ratings,71.02245
Bhutan,BTN,2021,AP,25,2.239852,4,64.31544,71.68456,Varieties of Democracy Project,70.93406
Bhutan,BTN,2021,AP,25,2.239852,4,64.31544,71.68456,World Bank CPIA,60.10603
Bhutan,BTN,2021,AP,25,2.239852,4,64.31544,71.68456,CPI score,68
Bhutan,BTN,2020,AP,24,2.387326,4,64.08479,71.91521,Bertelsmann Foundation Transformation Index,69
Bhutan,BTN,2020,AP,24,2.387326,4,64.08479,71.91521,Global Insights Country Risk Ratings,71
Bhutan,BTN,2020,AP,24,2.387326,4,64.08479,71.91521,Varieties of Democracy Project,72
Bhutan,BTN,2020,AP,24,2.387326,4,64.08479,71.91521,World Bank CPIA,60
Bhutan,BTN,2020,AP,24,2.387326,4,64.08479,71.91521,CPI score,68
Bhutan,BTN,2019,AP,25,2.756646,4,63.4791,72.5209,Bertelsmann Foundation Transformation Index,69
Bhutan,BTN,2019,AP,25,2.756646,4,63.4791,72.5209,Global Insights Country Risk Ratings,71
Bhutan,BTN,2019,AP,25,2.756646,4,63.4791,72.5209,Varieties of Democracy Project,72
Bhutan,BTN,2019,AP,25,2.756646,4,63.4791,72.5209,World Bank CPIA,60
Bhutan,BTN,2019,AP,25,2.756646,4,63.4791,72.5209,CPI score,68
Bhutan,BTN,2018,AP,25,2.86,4,63,73,Bertelsmann Foundation Transformation Index,69
Bhutan,BTN,2018,AP,25,2.86,4,63,73,Global Insights Country Risk Ratings,71
Bhutan,BTN,2018,AP,25,2.86,4,63,73,Varieties of Democracy Project,73
Bhutan,BTN,2018,AP,25,2.86,4,63,73,World Bank CPIA,60
Bhutan,BTN,2018,AP,25,2.86,4,63,73,CPI score,68
Bhutan,BTN,2017,AP,26,1.83,5,64,70,Bertelsmann Foundation Transformation Index,69
Bhutan,BTN,2017,AP,26,1.83,5,64,70,Global Insights Country Risk Ratings,71
Bhutan,BTN,2017,AP,26,1.83,5,64,70,Varieties of Democracy Project,67
Bhutan,BTN,2017,AP,26,1.83,5,64,70,World Bank CPIA,60
Bhutan,BTN,2017,AP,26,1.83,5,64,70,World Economic Forum EOS,67
Bhutan,BTN,2017,AP,26,1.83,5,64,70,CPI score,67
Bhutan,BTN,2016,AP,27,2.12,5,62,69,Bertelsmann Foundation Transformation Index,65
Bhutan,BTN,2016,AP,27,2.12,5,62,69,Global Insights Country Risk Ratings,71
Bhutan,BTN,2016,AP,27,2.12,5,62,69,Varieties of Democracy Project,64
Bhutan,BTN,2016,AP,27,2.12,5,62,69,World Bank CPIA,69
Bhutan,BTN,2016,AP,27,2.12,5,62,69,World Economic Forum EOS,59
Bhutan,BTN,2016,AP,27,2.12,5,62,69,CPI score,65
Bhutan,BTN,2015,AP,27,2.140000104904175,4,61,69,Bertelsmann Foundation Transformation Index,66
Bhutan,BTN,2015,AP,27,2.140000104904175,4,61,69,Global Insights Country Risk Ratings,63
Bhutan,BTN,2015,AP,27,2.140000104904175,4,61,69,World Bank CPIA,70
Bhutan,BTN,2015,AP,27,2.140000104904175,4,61,69,World Economic Forum EOS,60
Bhutan,BTN,2015,AP,27,2.140000104904175,4,61,69,CPI score,65
Bhutan,BTN,2014,AP,30,1.809999942779541,4,62,68,Bertelsmann Foundation Transformation Index,62
Bhutan,BTN,2014,AP,30,1.809999942779541,4,62,68,Global Insights Country Risk Ratings,63
Bhutan,BTN,2014,AP,30,1.809999942779541,4,62,68,World Bank CPIA,70
Bhutan,BTN,2014,AP,30,1.809999942779541,4,62,68,World Economic Forum EOS,65
Bhutan,BTN,2014,AP,30,1.809999942779541,4,62,68,CPI score,65
Bhutan,BTN,2013,AP,31,2.6,4,59,67,Bertelsmann Foundation Transformation Index,62
Bhutan,BTN,2013,AP,31,2.6,4,59,67,Global Insights Country Risk Ratings,63
Bhutan,BTN,2013,AP,31,2.6,4,59,67,World Bank CPIA,70
Bhutan,BTN,2013,AP,31,2.6,4,59,67,World Economic Forum EOS,57
Bhutan,BTN,2013,AP,31,2.6,4,59,67,CPI score,63
Bhutan,BTN,2012,AP,33,3.6,3,57,69,Bertelsmann Foundation Transformation Index,58
Bhutan,BTN,2012,AP,33,3.6,3,57,69,Global Insights Country Risk Ratings,63
Bhutan,BTN,2012,AP,33,3.6,3,57,69,World Bank CPIA,70
Bhutan,BTN,2012,AP,33,3.6,3,57,69,CPI score,63
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,Bertelsmann Foundation Transformation Index,12.89792
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,Economist Intelligence Unit Country Ratings,19.79276
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,Global Insights Country Risk Ratings,34.50329
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,PERC Asia Risk Guide,39.04852
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,Varieties of Democracy Project,13.78506
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,World Bank CPIA,18.44911
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,World Justice Project Rule of Law Index,12.22554
Cambodia,KHM,2023,AP,158,2.904808,7,17.23611,26.76389,CPI score,22
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,Bertelsmann Foundation Transformation Index,13
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,Economist Intelligence Unit Country Ratings,20
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,Global Insights Country Risk Ratings,35
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,PERC Asia Risk Guide,39
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,Varieties of Democracy Project,14
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,World Bank CPIA,18
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,World Economic Forum EOS,41
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,World Justice Project Rule of Law Index,12
Cambodia,KHM,2022,AP,150,2.782431,8,19.43681,28.56319,CPI score,24
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,Bertelsmann Foundation Transformation Index,12.89792
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,Economist Intelligence Unit Country Ratings,19.79276
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,Global Insights Country Risk Ratings,34.50329
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,PERC Asia Risk Guide,35.51528
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,Varieties of Democracy Project,14.50846
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,World Bank CPIA,10.11772
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,World Economic Forum EOS,41.69778
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,World Justice Project Rule of Law Index,13.12382
Cambodia,KHM,2021,AP,157,2.842698,8,18.32376,27.67624,CPI score,23
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,Bertelsmann Foundation Transformation Index,13
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,Economist Intelligence Unit Country Ratings,20
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,Global Insights Country Risk Ratings,35
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,PERC Asia Risk Guide,29
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,Varieties of Democracy Project,15
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,World Bank CPIA,10
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,World Economic Forum EOS,35
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,World Justice Project Rule of Law Index,14
Cambodia,KHM,2020,AP,160,2.322713,8,17.19075,24.80925,CPI score,21
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,Bertelsmann Foundation Transformation Index,13
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,Economist Intelligence Unit Country Ratings,20
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,Global Insights Country Risk Ratings,22
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,PERC Asia Risk Guide,34
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,Varieties of Democracy Project,14
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,World Bank CPIA,10
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,World Economic Forum EOS,35
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,World Justice Project Rule of Law Index,14
Cambodia,KHM,2019,AP,162,3.409514,8,14.4084,25.5916,CPI score,20
Cambodia,KHM,2018,AP,161,2.58,8,16,24,Bertelsmann Foundation Transformation Index,13
Cambodia,KHM,2018,AP,161,2.58,8,16,24,Economist Intelligence Unit Country Ratings,20
Cambodia,KHM,2018,AP,161,2.58,8,16,24,Global Insights Country Risk Ratings,22
Cambodia,KHM,2018,AP,161,2.58,8,16,24,PERC Asia Risk Guide,27
Cambodia,KHM,2018,AP,161,2.58,8,16,24,Varieties of Democracy Project,12
Cambodia,KHM,2018,AP,161,2.58,8,16,24,World Bank CPIA,18
Cambodia,KHM,2018,AP,161,2.58,8,16,24,World Economic Forum EOS,33
Cambodia,KHM,2018,AP,161,2.58,8,16,24,World Justice Project Rule of Law Index,14
Cambodia,KHM,2018,AP,161,2.58,8,16,24,CPI score,20
Cambodia,KHM,2017,AP,161,2.43,8,17,25,Bertelsmann Foundation Transformation Index,13
Cambodia,KHM,2017,AP,161,2.43,8,17,25,Economist Intelligence Unit Country Ratings,20
Cambodia,KHM,2017,AP,161,2.43,8,17,25,Global Insights Country Risk Ratings,22
Cambodia,KHM,2017,AP,161,2.43,8,17,25,PERC Asia Risk Guide,31
Cambodia,KHM,2017,AP,161,2.43,8,17,25,Varieties of Democracy Project,19
Cambodia,KHM,2017,AP,161,2.43,8,17,25,World Bank CPIA,18
Cambodia,KHM,2017,AP,161,2.43,8,17,25,World Economic Forum EOS,31
Cambodia,KHM,2017,AP,161,2.43,8,17,25,World Justice Project Rule of Law Index,14
Cambodia,KHM,2017,AP,161,2.43,8,17,25,CPI score,21
Cambodia,KHM,2016,AP,156,2.82,8,16,26,Bertelsmann Foundation Transformation Index,16
