country_name,year,index,value,index_text
Bangladesh,1990,v2x_egaldem,0.147,Egalitarian democracy index
Bangladesh,1991,v2x_polyarchy,0.491,Electoral democracy index
Bangladesh,1991,v2x_libdem,0.258,Liberal democracy index
Bangladesh,1991,v2x_partipdem,0.236,Participatory democracy index
Bangladesh,1991,v2x_delibdem,0.205,Deliberative democracy index
Bangladesh,1991,v2x_egaldem,0.206,Egalitarian democracy index
Bangladesh,1992,v2x_polyarchy,0.517,Electoral democracy index
Bangladesh,1992,v2x_libdem,0.27,Liberal democracy index
Bangladesh,1992,v2x_partipdem,0.247,Participatory democracy index
Bangladesh,1992,v2x_delibdem,0.22,Deliberative democracy index
Bangladesh,1992,v2x_egaldem,0.216,Egalitarian democracy index
Bangladesh,1993,v2x_polyarchy,0.515,Electoral democracy index
Bangladesh,1993,v2x_libdem,0.271,Liberal democracy index
Bangladesh,1993,v2x_partipdem,0.246,Participatory democracy index
Bangladesh,1993,v2x_delibdem,0.221,Deliberative democracy index
Bangladesh,1993,v2x_egaldem,0.216,Egalitarian democracy index
Bangladesh,1994,v2x_polyarchy,0.515,Electoral democracy index
Bangladesh,1994,v2x_libdem,0.271,Liberal democracy index
Bangladesh,1994,v2x_partipdem,0.246,Participatory democracy index
Bangladesh,1994,v2x_delibdem,0.221,Deliberative democracy index
Bangladesh,1994,v2x_egaldem,0.216,Egalitarian democracy index
Bangladesh,1995,v2x_polyarchy,0.515,Electoral democracy index
Bangladesh,1995,v2x_libdem,0.271,Liberal democracy index
Bangladesh,1995,v2x_partipdem,0.257,Participatory democracy index
Bangladesh,1995,v2x_delibdem,0.221,Deliberative democracy index
Bangladesh,1995,v2x_egaldem,0.215,Egalitarian democracy index
Bangladesh,1996,v2x_polyarchy,0.504,Electoral democracy index
Bangladesh,1996,v2x_libdem,0.268,Liberal democracy index
Bangladesh,1996,v2x_partipdem,0.25,Participatory democracy index
Bangladesh,1996,v2x_delibdem,0.208,Deliberative democracy index
Bangladesh,1996,v2x_egaldem,0.209,Egalitarian democracy index
Bangladesh,1997,v2x_polyarchy,0.51,Electoral democracy index
Bangladesh,1997,v2x_libdem,0.27,Liberal democracy index
Bangladesh,1997,v2x_partipdem,0.256,Participatory democracy index
Bangladesh,1997,v2x_delibdem,0.21,Deliberative democracy index
Bangladesh,1997,v2x_egaldem,0.21,Egalitarian democracy index
Bangladesh,1998,v2x_polyarchy,0.51,Electoral democracy index
Bangladesh,1998,v2x_libdem,0.27,Liberal democracy index
Bangladesh,1998,v2x_partipdem,0.254,Participatory democracy index
Bangladesh,1998,v2x_delibdem,0.21,Deliberative democracy index
Bangladesh,1998,v2x_egaldem,0.21,Egalitarian democracy index
Bangladesh,1999,v2x_polyarchy,0.51,Electoral democracy index
Bangladesh,1999,v2x_libdem,0.27,Liberal democracy index
Bangladesh,1999,v2x_partipdem,0.253,Participatory democracy index
Bangladesh,1999,v2x_delibdem,0.21,Deliberative democracy index
Bangladesh,1999,v2x_egaldem,0.213,Egalitarian democracy index
Bangladesh,2000,v2x_polyarchy,0.51,Electoral democracy index
Bangladesh,2000,v2x_libdem,0.275,Liberal democracy index
Bangladesh,2000,v2x_partipdem,0.251,Participatory democracy index
Bangladesh,2000,v2x_delibdem,0.21,Deliberative democracy index
Bangladesh,2000,v2x_egaldem,0.213,Egalitarian democracy index
Bangladesh,2001,v2x_polyarchy,0.503,Electoral democracy index
Bangladesh,2001,v2x_libdem,0.267,Liberal democracy index
Bangladesh,2001,v2x_partipdem,0.247,Participatory democracy index
Bangladesh,2001,v2x_delibdem,0.206,Deliberative democracy index
Bangladesh,2001,v2x_egaldem,0.21,Egalitarian democracy index
Bangladesh,2002,v2x_polyarchy,0.471,Electoral democracy index
Bangladesh,2002,v2x_libdem,0.236,Liberal democracy index
Bangladesh,2002,v2x_partipdem,0.23,Participatory democracy index
Bangladesh,2002,v2x_delibdem,0.194,Deliberative democracy index
Bangladesh,2002,v2x_egaldem,0.198,Egalitarian democracy index
Bangladesh,2003,v2x_polyarchy,0.474,Electoral democracy index
Bangladesh,2003,v2x_libdem,0.239,Liberal democracy index
Bangladesh,2003,v2x_partipdem,0.23,Participatory democracy index
Bangladesh,2003,v2x_delibdem,0.196,Deliberative democracy index
Bangladesh,2003,v2x_egaldem,0.2,Egalitarian democracy index
Bangladesh,2004,v2x_polyarchy,0.474,Electoral democracy index
Bangladesh,2004,v2x_libdem,0.232,Liberal democracy index
Bangladesh,2004,v2x_partipdem,0.228,Participatory democracy index
Bangladesh,2004,v2x_delibdem,0.196,Deliberative democracy index
Bangladesh,2004,v2x_egaldem,0.2,Egalitarian democracy index
Bangladesh,2005,v2x_polyarchy,0.474,Electoral democracy index
Bangladesh,2005,v2x_libdem,0.232,Liberal democracy index
Bangladesh,2005,v2x_partipdem,0.227,Participatory democracy index
Bangladesh,2005,v2x_delibdem,0.196,Deliberative democracy index
Bangladesh,2005,v2x_egaldem,0.199,Egalitarian democracy index
Bangladesh,2006,v2x_polyarchy,0.422,Electoral democracy index
Bangladesh,2006,v2x_libdem,0.216,Liberal democracy index
Bangladesh,2006,v2x_partipdem,0.204,Participatory democracy index
Bangladesh,2006,v2x_delibdem,0.176,Deliberative democracy index
Bangladesh,2006,v2x_egaldem,0.178,Egalitarian democracy index
Bangladesh,2007,v2x_polyarchy,0.207,Electoral democracy index
Bangladesh,2007,v2x_libdem,0.105,Liberal democracy index
Bangladesh,2007,v2x_partipdem,0.122,Participatory democracy index
Bangladesh,2007,v2x_delibdem,0.096,Deliberative democracy index
Bangladesh,2007,v2x_egaldem,0.104,Egalitarian democracy index
Bangladesh,2008,v2x_polyarchy,0.211,Electoral democracy index
Bangladesh,2008,v2x_libdem,0.106,Liberal democracy index
Bangladesh,2008,v2x_partipdem,0.122,Participatory democracy index
Bangladesh,2008,v2x_delibdem,0.097,Deliberative democracy index
Bangladesh,2008,v2x_egaldem,0.105,Egalitarian democracy index
Bangladesh,2009,v2x_polyarchy,0.416,Electoral democracy index
Bangladesh,2009,v2x_libdem,0.197,Liberal democracy index
Bangladesh,2009,v2x_partipdem,0.198,Participatory democracy index
Bangladesh,2009,v2x_delibdem,0.188,Deliberative democracy index
Bangladesh,2009,v2x_egaldem,0.177,Egalitarian democracy index
Bangladesh,2010,v2x_polyarchy,0.43,Electoral democracy index
Bangladesh,2010,v2x_libdem,0.174,Liberal democracy index
Bangladesh,2010,v2x_partipdem,0.202,Participatory democracy index
Bangladesh,2010,v2x_delibdem,0.194,Deliberative democracy index
Bangladesh,2010,v2x_egaldem,0.182,Egalitarian democracy index
Bangladesh,2011,v2x_polyarchy,0.42,Electoral democracy index
Bangladesh,2011,v2x_libdem,0.168,Liberal democracy index
Bangladesh,2011,v2x_partipdem,0.199,Participatory democracy index
Bangladesh,2011,v2x_delibdem,0.189,Deliberative democracy index
Bangladesh,2011,v2x_egaldem,0.178,Egalitarian democracy index
Bangladesh,2012,v2x_polyarchy,0.411,Electoral democracy index
Bangladesh,2012,v2x_libdem,0.166,Liberal democracy index
Bangladesh,2012,v2x_partipdem,0.186,Participatory democracy index
Bangladesh,2012,v2x_delibdem,0.185,Deliberative democracy index
Bangladesh,2012,v2x_egaldem,0.173,Egalitarian democracy index
Bangladesh,2013,v2x_polyarchy,0.373,Electoral democracy index
Bangladesh,2013,v2x_libdem,0.144,Liberal democracy index
Bangladesh,2013,v2x_partipdem,0.163,Participatory democracy index
Bangladesh,2013,v2x_delibdem,0.166,Deliberative democracy index
Bangladesh,2013,v2x_egaldem,0.163,Egalitarian democracy index
Bangladesh,2014,v2x_polyarchy,0.291,Electoral democracy index
Bangladesh,2014,v2x_libdem,0.11,Liberal democracy index
Bangladesh,2014,v2x_partipdem,0.132,Participatory democracy index
Bangladesh,2014,v2x_delibdem,0.136,Deliberative democracy index
Bangladesh,2014,v2x_egaldem,0.129,Egalitarian democracy index
Bangladesh,2015,v2x_polyarchy,0.28,Electoral democracy index
Bangladesh,2015,v2x_libdem,0.111,Liberal democracy index
Bangladesh,2015,v2x_partipdem,0.136,Participatory democracy index
Bangladesh,2015,v2x_delibdem,0.137,Deliberative democracy index
Bangladesh,2015,v2x_egaldem,0.126,Egalitarian democracy index
Bangladesh,2016,v2x_polyarchy,0.279,Electoral democracy index
Bangladesh,2016,v2x_libdem,0.111,Liberal democracy index
Bangladesh,2016,v2x_partipdem,0.134,Participatory democracy index
Bangladesh,2016,v2x_delibdem,0.148,Deliberative democracy index
Bangladesh,2016,v2x_egaldem,0.127,Egalitarian democracy index
Bangladesh,2017,v2x_polyarchy,0.273,Electoral democracy index
Bangladesh,2017,v2x_libdem,0.108,Liberal democracy index
Bangladesh,2017,v2x_partipdem,0.136,Participatory democracy index
Bangladesh,2017,v2x_delibdem,0.143,Deliberative democracy index
Bangladesh,2017,v2x_egaldem,0.108,Egalitarian democracy index
Bangladesh,2018,v2x_polyarchy,0.26,Electoral democracy index
Bangladesh,2018,v2x_libdem,0.103,Liberal democracy index
Bangladesh,2018,v2x_partipdem,0.122,Participatory democracy index
Bangladesh,2018,v2x_delibdem,0.105,Deliberative democracy index
Bangladesh,2018,v2x_egaldem,0.1,Egalitarian democracy index
Bangladesh,2019,v2x_polyarchy,0.253,Electoral democracy index
Bangladesh,2019,v2x_libdem,0.096,Liberal democracy index
Bangladesh,2019,v2x_partipdem,0.119,Participatory democracy index
Bangladesh,2019,v2x_delibdem,0.111,Deliberative democracy index
Bangladesh,2019,v2x_egaldem,0.102,Egalitarian democracy index
Bangladesh,2020,v2x_polyarchy,0.257,Electoral democracy index
Bangladesh,2020,v2x_libdem,0.096,Liberal democracy index
Bangladesh,2020,v2x_partipdem,0.12,Participatory democracy index
Bangladesh,2020,v2x_delibdem,0.104,Deliberative democracy index
Bangladesh,2020,v2x_egaldem,0.098,Egalitarian democracy index
Bangladesh,2021,v2x_polyarchy,0.252,Electoral democracy index
Bangladesh,2021,v2x_libdem,0.094,Liberal democracy index
Bangladesh,2021,v2x_partipdem,0.116,Participatory democracy index
Bangladesh,2021,v2x_delibdem,0.103,Deliberative democracy index
Bangladesh,2021,v2x_egaldem,0.099,Egalitarian democracy index
Bangladesh,2022,v2x_polyarchy,0.262,Electoral democracy index
Bangladesh,2022,v2x_libdem,0.096,Liberal democracy index
Bangladesh,2022,v2x_partipdem,0.122,Participatory democracy index
Bangladesh,2022,v2x_delibdem,0.107,Deliberative democracy index
Bangladesh,2022,v2x_egaldem,0.106,Egalitarian democracy index
Bangladesh,2023,v2x_polyarchy,0.253,Electoral democracy index
Bangladesh,2023,v2x_libdem,0.096,Liberal democracy index
Bangladesh,2023,v2x_partipdem,0.122,Participatory democracy index
Bangladesh,2023,v2x_delibdem,0.123,Deliberative democracy index
Bangladesh,2023,v2x_egaldem,0.103,Egalitarian democracy index
Pakistan,1947,v2x_polyarchy,0.179,Electoral democracy index
Pakistan,1947,v2x_libdem,0.156,Liberal democracy index
Pakistan,1947,v2x_partipdem,0.069,Participatory democracy index
Pakistan,1947,v2x_delibdem,0.157,Deliberative democracy index
Pakistan,1947,v2x_egaldem,0.091,Egalitarian democracy index
Pakistan,1948,v2x_polyarchy,0.179,Electoral democracy index
Pakistan,1948,v2x_libdem,0.167,Liberal democracy index
Pakistan,1948,v2x_partipdem,0.069,Participatory democracy index
Pakistan,1948,v2x_delibdem,0.157,Deliberative democracy index
Pakistan,1948,v2x_egaldem,0.091,Egalitarian democracy index
Pakistan,1949,v2x_polyarchy,0.195,Electoral democracy index
Pakistan,1949,v2x_libdem,0.165,Liberal democracy index
Pakistan,1949,v2x_partipdem,0.072,Participatory democracy index
Pakistan,1949,v2x_delibdem,0.163,Deliberative democracy index
Pakistan,1949,v2x_egaldem,0.094,Egalitarian democracy index
Pakistan,1950,v2x_polyarchy,0.199,Electoral democracy index
Pakistan,1950,v2x_libdem,0.165,Liberal democracy index
Pakistan,1950,v2x_partipdem,0.073,Participatory democracy index
Pakistan,1950,v2x_delibdem,0.162,Deliberative democracy index
Pakistan,1950,v2x_egaldem,0.099,Egalitarian democracy index
Pakistan,1951,v2x_polyarchy,0.199,Electoral democracy index
Pakistan,1951,v2x_libdem,0.163,Liberal democracy index
Pakistan,1951,v2x_partipdem,0.073,Participatory democracy index
Pakistan,1951,v2x_delibdem,0.162,Deliberative democracy index
Pakistan,1951,v2x_egaldem,0.099,Egalitarian democracy index
Pakistan,1952,v2x_polyarchy,0.199,Electoral democracy index
Pakistan,1952,v2x_libdem,0.161,Liberal democracy index
Pakistan,1952,v2x_partipdem,0.073,Participatory democracy index
Pakistan,1952,v2x_delibdem,0.162,Deliberative democracy index
Pakistan,1952,v2x_egaldem,0.096,Egalitarian democracy index
Pakistan,1953,v2x_polyarchy,0.183,Electoral democracy index
Pakistan,1953,v2x_libdem,0.162,Liberal democracy index
Pakistan,1953,v2x_partipdem,0.069,Participatory democracy index
Pakistan,1953,v2x_delibdem,0.153,Deliberative democracy index
Pakistan,1953,v2x_egaldem,0.092,Egalitarian democracy index
Pakistan,1954,v2x_polyarchy,0.18,Electoral democracy index
Pakistan,1954,v2x_libdem,0.156,Liberal democracy index
Pakistan,1954,v2x_partipdem,0.069,Participatory democracy index
Pakistan,1954,v2x_delibdem,0.152,Deliberative democracy index
Pakistan,1954,v2x_egaldem,0.092,Egalitarian democracy index
Pakistan,1955,v2x_polyarchy,0.18,Electoral democracy index
Pakistan,1955,v2x_libdem,0.156,Liberal democracy index
Pakistan,1955,v2x_partipdem,0.069,Participatory democracy index
Pakistan,1955,v2x_delibdem,0.152,Deliberative democracy index
Pakistan,1955,v2x_egaldem,0.092,Egalitarian democracy index
Pakistan,1956,v2x_polyarchy,0.19,Electoral democracy index
Pakistan,1956,v2x_libdem,0.155,Liberal democracy index
Pakistan,1956,v2x_partipdem,0.071,Participatory democracy index
Pakistan,1956,v2x_delibdem,0.155,Deliberative democracy index
Pakistan,1956,v2x_egaldem,0.093,Egalitarian democracy index
Pakistan,1957,v2x_polyarchy,0.197,Electoral democracy index
Pakistan,1957,v2x_libdem,0.158,Liberal democracy index
Pakistan,1957,v2x_partipdem,0.071,Participatory democracy index
Pakistan,1957,v2x_delibdem,0.163,Deliberative democracy index
Pakistan,1957,v2x_egaldem,0.084,Egalitarian democracy index
Pakistan,1958,v2x_polyarchy,0.16,Electoral democracy index
Pakistan,1958,v2x_libdem,0.112,Liberal democracy index
Pakistan,1958,v2x_partipdem,0.046,Participatory democracy index
Pakistan,1958,v2x_delibdem,0.104,Deliberative democracy index
Pakistan,1958,v2x_egaldem,0.077,Egalitarian democracy index
Pakistan,1959,v2x_polyarchy,0.13,Electoral democracy index
Pakistan,1959,v2x_libdem,0.084,Liberal democracy index
Pakistan,1959,v2x_partipdem,0.051,Participatory democracy index
Pakistan,1959,v2x_delibdem,0.081,Deliberative democracy index
Pakistan,1959,v2x_egaldem,0.082,Egalitarian democracy index
Pakistan,1960,v2x_polyarchy,0.128,Electoral democracy index
Pakistan,1960,v2x_libdem,0.083,Liberal democracy index
Pakistan,1960,v2x_partipdem,0.031,Participatory democracy index
Pakistan,1960,v2x_delibdem,0.079,Deliberative democracy index
Pakistan,1960,v2x_egaldem,0.086,Egalitarian democracy index
Pakistan,1961,v2x_polyarchy,0.129,Electoral democracy index
Pakistan,1961,v2x_libdem,0.083,Liberal democracy index
Pakistan,1961,v2x_partipdem,0.031,Participatory democracy index
Pakistan,1961,v2x_delibdem,0.079,Deliberative democracy index
Pakistan,1961,v2x_egaldem,0.086,Egalitarian democracy index
Pakistan,1962,v2x_polyarchy,0.136,Electoral democracy index
Pakistan,1962,v2x_libdem,0.101,Liberal democracy index
Pakistan,1962,v2x_partipdem,0.038,Participatory democracy index
Pakistan,1962,v2x_delibdem,0.098,Deliberative democracy index
Pakistan,1962,v2x_egaldem,0.087,Egalitarian democracy index
Pakistan,1963,v2x_polyarchy,0.139,Electoral democracy index
Pakistan,1963,v2x_libdem,0.121,Liberal democracy index
Pakistan,1963,v2x_partipdem,0.038,Participatory democracy index
Pakistan,1963,v2x_delibdem,0.102,Deliberative democracy index
Pakistan,1963,v2x_egaldem,0.088,Egalitarian democracy index
Pakistan,1964,v2x_polyarchy,0.139,Electoral democracy index
Pakistan,1964,v2x_libdem,0.129,Liberal democracy index
Pakistan,1964,v2x_partipdem,0.038,Participatory democracy index
Pakistan,1964,v2x_delibdem,0.102,Deliberative democracy index
Pakistan,1964,v2x_egaldem,0.088,Egalitarian democracy index
Pakistan,1965,v2x_polyarchy,0.139,Electoral democracy index
Pakistan,1965,v2x_libdem,0.129,Liberal democracy index
Pakistan,1965,v2x_partipdem,0.049,Participatory democracy index
Pakistan,1965,v2x_delibdem,0.102,Deliberative democracy index
Pakistan,1965,v2x_egaldem,0.088,Egalitarian democracy index
Pakistan,1966,v2x_polyarchy,0.144,Electoral democracy index
Pakistan,1966,v2x_libdem,0.132,Liberal democracy index
Pakistan,1966,v2x_partipdem,0.049,Participatory democracy index
Pakistan,1966,v2x_delibdem,0.103,Deliberative democracy index
Pakistan,1966,v2x_egaldem,0.089,Egalitarian democracy index
Pakistan,1967,v2x_polyarchy,0.139,Electoral democracy index
Pakistan,1967,v2x_libdem,0.131,Liberal democracy index
Pakistan,1967,v2x_partipdem,0.049,Participatory democracy index
Pakistan,1967,v2x_delibdem,0.102,Deliberative democracy index
Pakistan,1967,v2x_egaldem,0.088,Egalitarian democracy index
Pakistan,1968,v2x_polyarchy,0.139,Electoral democracy index
Pakistan,1968,v2x_libdem,0.131,Liberal democracy index
Pakistan,1968,v2x_partipdem,0.049,Participatory democracy index
Pakistan,1968,v2x_delibdem,0.102,Deliberative democracy index
Pakistan,1968,v2x_egaldem,0.087,Egalitarian democracy index
Pakistan,1969,v2x_polyarchy,0.143,Electoral democracy index
Pakistan,1969,v2x_libdem,0.091,Liberal democracy index
Pakistan,1969,v2x_partipdem,0.063,Participatory democracy index
Pakistan,1969,v2x_delibdem,0.113,Deliberative democracy index
Pakistan,1969,v2x_egaldem,0.085,Egalitarian democracy index
Pakistan,1970,v2x_polyarchy,0.193,Electoral democracy index
Pakistan,1970,v2x_libdem,0.094,Liberal democracy index
Pakistan,1970,v2x_partipdem,0.063,Participatory democracy index
Pakistan,1970,v2x_delibdem,0.123,Deliberative democracy index
Pakistan,1970,v2x_egaldem,0.083,Egalitarian democracy index
Pakistan,1971,v2x_polyarchy,0.154,Electoral democracy index
Pakistan,1971,v2x_libdem,0.072,Liberal democracy index
Pakistan,1971,v2x_partipdem,0.07,Participatory democracy index
Pakistan,1971,v2x_delibdem,0.104,Deliberative democracy index
Pakistan,1971,v2x_egaldem,0.075,Egalitarian democracy index
Pakistan,1972,v2x_polyarchy,0.168,Electoral democracy index
Pakistan,1972,v2x_libdem,0.113,Liberal democracy index
Pakistan,1972,v2x_partipdem,0.079,Participatory democracy index
Pakistan,1972,v2x_delibdem,0.168,Deliberative democracy index
Pakistan,1972,v2x_egaldem,0.082,Egalitarian democracy index
Pakistan,1973,v2x_polyarchy,0.193,Electoral democracy index
Pakistan,1973,v2x_libdem,0.134,Liberal democracy index
Pakistan,1973,v2x_partipdem,0.109,Participatory democracy index
Pakistan,1973,v2x_delibdem,0.199,Deliberative democracy index
Pakistan,1973,v2x_egaldem,0.088,Egalitarian democracy index
Pakistan,1974,v2x_polyarchy,0.231,Electoral democracy index
Pakistan,1974,v2x_libdem,0.145,Liberal democracy index
Pakistan,1974,v2x_partipdem,0.118,Participatory democracy index
Pakistan,1974,v2x_delibdem,0.21,Deliberative democracy index
Pakistan,1974,v2x_egaldem,0.097,Egalitarian democracy index
Pakistan,1975,v2x_polyarchy,0.227,Electoral democracy index
Pakistan,1975,v2x_libdem,0.143,Liberal democracy index
Pakistan,1975,v2x_partipdem,0.117,Participatory democracy index
Pakistan,1975,v2x_delibdem,0.209,Deliberative democracy index
Pakistan,1975,v2x_egaldem,0.095,Egalitarian democracy index
Pakistan,1976,v2x_polyarchy,0.231,Electoral democracy index
Pakistan,1976,v2x_libdem,0.144,Liberal democracy index
Pakistan,1976,v2x_partipdem,0.118,Participatory democracy index
Pakistan,1976,v2x_delibdem,0.21,Deliberative democracy index
Pakistan,1976,v2x_egaldem,0.095,Egalitarian democracy index
Pakistan,1977,v2x_polyarchy,0.22,Electoral democracy index
Pakistan,1977,v2x_libdem,0.114,Liberal democracy index
Pakistan,1977,v2x_partipdem,0.116,Participatory democracy index
Pakistan,1977,v2x_delibdem,0.203,Deliberative democracy index
Pakistan,1977,v2x_egaldem,0.094,Egalitarian democracy index
Pakistan,1978,v2x_polyarchy,0.115,Electoral democracy index
Pakistan,1978,v2x_libdem,0.068,Liberal democracy index
Pakistan,1978,v2x_partipdem,0.044,Participatory democracy index
Pakistan,1978,v2x_delibdem,0.124,Deliberative democracy index
Pakistan,1978,v2x_egaldem,0.07,Egalitarian democracy index
Pakistan,1979,v2x_polyarchy,0.107,Electoral democracy index
Pakistan,1979,v2x_libdem,0.062,Liberal democracy index
Pakistan,1979,v2x_partipdem,0.043,Participatory democracy index
Pakistan,1979,v2x_delibdem,0.108,Deliberative democracy index
Pakistan,1979,v2x_egaldem,0.069,Egalitarian democracy index
Pakistan,1980,v2x_polyarchy,0.107,Electoral democracy index
Pakistan,1980,v2x_libdem,0.058,Liberal democracy index
Pakistan,1980,v2x_partipdem,0.043,Participatory democracy index
