serial_number,title,date_added,hrd_long
117,Indonesia: Discussion on problematic hydropower plant  construction violently disrupted,25/04/2023,NGO staff
118,Pakistan: social media activist goes missing,19/03/2023,Blogger/ Social Media Activist
119,Sri Lanka: six students arrested in violent repression of protest,19/03/2023,Student
120,"Pakistan: defenders joining International Women’s Day lathi-charged, obstructed",19/03/2023,WHRD
120,"Pakistan: defenders joining International Women’s Day lathi-charged, obstructed",19/03/2023,SOGI rights defender
121,China: pro-democracy couple prevented from leaving home,19/03/2023,WHRD
121,China: pro-democracy couple prevented from leaving home,19/03/2023,Pro-democracy defender
121,China: pro-democracy couple prevented from leaving home,19/03/2023,Lawyer
122,Afghanistan: another academic arrested,25/04/2023,Academic
122,Afghanistan: another academic arrested,25/04/2023,WHRD
123,"Indonesia: International Women's Day demonstrator detained for being ""provocative""",25/04/2023,Community-based HRD
123,"Indonesia: International Women's Day demonstrator detained for being ""provocative""",25/04/2023,WHRD
124,India: media worker arrested for reporting corruption case,18/03/2023,Media Worker
125,Kyrgyzstan: court uphold decision to block independent media outlet (Update),19/03/2023,Media Worker
126,Viet Nam: lawyers accused following investigation (Update),18/03/2023,Lawyer
127,China: wife of dissident poet under surveillance,19/03/2023,WHRD
127,China: wife of dissident poet under surveillance,19/03/2023,Pro-democracy defender
128,Afghanistan: WHRD arrested in Ghor Province,25/04/2023,WHRD
128,Afghanistan: WHRD arrested in Ghor Province,25/04/2023,Community-based HRD
129,China: Hong Kong WHRD and lawyer faces further judicial harassment (Update),19/03/2023,Lawyer
129,China: Hong Kong WHRD and lawyer faces further judicial harassment (Update),19/03/2023,WHRD
129,China: Hong Kong WHRD and lawyer faces further judicial harassment (Update),19/03/2023,Pro-democracy defender
130,"Vietnam: social media activist denied family, lawyer visit (Update)",18/03/2023,Blogger/ Social Media Activist
131,Pakistan: International Women’s Day march denied,06/03/2023,WHRD
132,China: women's labor organization compelled to cancel rally in Hong Kong,19/03/2023,WHRD
132,China: women's labor organization compelled to cancel rally in Hong Kong,19/03/2023,Labour rights defender
133,"China: lawyer held incommunicado, rights activists under surveillance",06/03/2023,Lawyer
133,"China: lawyer held incommunicado, rights activists under surveillance",06/03/2023,Pro-democracy defender
134,Vietnam: WHRD poor health condition denied proper treatment (Update),18/03/2023,Land rights defender
134,Vietnam: WHRD poor health condition denied proper treatment (Update),18/03/2023,WHRD
135,Indonesia: Journalists intimidated and threatened for reporting alleged abuse by regional councilpersons,28/03/2023,Media Worker
136,India: media worker shot at,06/03/2023,Media Worker
137,"Sri Lanka: police violence leads to 15 injured, one death",28/02/2023,Pro-democracy defender
138,Cambodia: seven community-based defenders face enhanced judicial harassment,06/03/2023,Land rights defender
138,Cambodia: seven community-based defenders face enhanced judicial harassment,06/03/2023,Community-based HRD
138,Cambodia: seven community-based defenders face enhanced judicial harassment,06/03/2023,WHRD
139,Pakistan: SOGI rights defender survives gun attack after threats,06/03/2023,SOGI rights defender
140,Thailand: pro-democracy WHRDs continue to be target of harassment,28/02/2023,WHRD
140,Thailand: pro-democracy WHRDs continue to be target of harassment,28/02/2023,Pro-democracy defender
141,"Afghanistan: social media activist arrested, tortured
",19/03/2023,Blogger/ Social Media Activist
142,Philippines: indigenous group prevented from meeting Prime Minister,27/02/2023,Indigenous peoples' rights defender
142,Philippines: indigenous group prevented from meeting Prime Minister,27/02/2023,Land rights defender
143,Myanmar: five relatives of pro-democracy defender brutally killed,06/03/2023,Family of HRD
144,Philippines: community-based bishop and environmental advocate red-tagged,25/04/2023,Community-based HRD
144,Philippines: community-based bishop and environmental advocate red-tagged,25/04/2023,Environmental rights defender
145,Kazakhstan: another media worker assaulted,27/02/2023,Media Worker
146,Vietnam: social media activist re-arrested on same charges,27/02/2023,Blogger/ Social Media Activist
147,Myanmar: prominent defender trial starts (Update),26/02/2023,Community-based HRD
147,Myanmar: prominent defender trial starts (Update),26/02/2023,Pro-democracy defender
148,"Cambodia: union leader, eight co-defendants trial starts (Update)",27/02/2023,Labour rights defender
148,"Cambodia: union leader, eight co-defendants trial starts (Update)",27/02/2023,WHRD
149,"Sri Lanka: more episodes of violence, arrest against demonstrators",28/02/2023,Pro-democracy defender
149,"Sri Lanka: more episodes of violence, arrest against demonstrators",28/02/2023,Student
150,India: popular singer harassed for critical song on social issues,24/04/2023,WHRD
150,India: popular singer harassed for critical song on social issues,24/04/2023,Artist
151,Vietnam: pro-democracy defenders placed under house arrest,20/02/2023,WHRD
151,Vietnam: pro-democracy defenders placed under house arrest,20/02/2023,Pro-democracy defender
152,"Kyrgyzstan: 4 environmental WHRDs pretrial detention extended, despite health issues of one of them (Update)",26/02/2023,Environmental rights defender
152,"Kyrgyzstan: 4 environmental WHRDs pretrial detention extended, despite health issues of one of them (Update)",26/02/2023,WHRD
153,Cambodia: media worker vilified,27/02/2023,Media Worker
154,China: at least five detained for protest,27/02/2023,Community-based HRD
155,Afghanistan: WHRD abducted after house raid,25/04/2023,Public Servant
155,Afghanistan: WHRD abducted after house raid,25/04/2023,WHRD
155,Afghanistan: WHRD abducted after house raid,25/04/2023,Community-based HRD
156,Thailand: young WHRD summoned on royal defamation,17/02/2023,Pro-democracy defender
156,Thailand: young WHRD summoned on royal defamation,17/02/2023,WHRD
156,Thailand: young WHRD summoned on royal defamation,17/02/2023,Youth
157,China: demonstrators met with police violence,18/02/2023,Community-based HRD
158,Thailand: minor summoned for royal defamation after repeated harassment,15/02/2023,Youth
158,Thailand: minor summoned for royal defamation after repeated harassment,15/02/2023,Pro-democracy defender
159,Vietnam: social media activist sentence upheld,18/02/2023,Blogger/ Social Media Activist
160,Malaysia: WHRD threatened with legal action,18/02/2023,WHRD
161,"Afghanistan: media outlet raided, its staff beaten, vilified",18/02/2023,Media Worker
162,Myanmar: community-based defender charged with terrorism,18/02/2023,Community-based HRD
162,Myanmar: community-based defender charged with terrorism,18/02/2023,Pro-democracy defender
163,Nepal: media worker attacked while covering a protest,18/02/2023,Media Worker
164,Myanmar: student leader added 5-year jail term (Update),18/02/2023,Student
164,Myanmar: student leader added 5-year jail term (Update),18/02/2023,Pro-democracy defender
165,Cambodia: leading independent news got licence revoked,13/02/2023,Media Worker
166,Cambodia: independent news faces backlash after licence revoked (Update),27/02/2023,Media Worker
167,Afghanistan: another social media activist arrested,25/04/2023,Blogger/ Social Media Activist
168,Afghanistan: social media activist repression continues,25/04/2023,Blogger/ Social Media Activist
169,"Afghanistan: WHRD and her brother beaten, tortured",20/02/2023,Community-based HRD
169,"Afghanistan: WHRD and her brother beaten, tortured",20/02/2023,Family of HRD
169,"Afghanistan: WHRD and her brother beaten, tortured",20/02/2023,WHRD
170,"Afghanistan: WHRD arrested, her whereabouts unknown",20/02/2023,Community-based HRD
170,"Afghanistan: WHRD arrested, her whereabouts unknown",20/02/2023,WHRD
171,China: anti-censorship blogger sentenced to seven years (Update),01/05/2023,Blogger/ Social Media Activist
172,China: outspoken ethnic minority detained,27/02/2023,Minority rights defender
172,China: outspoken ethnic minority detained,27/02/2023,WHRD
173,Afghanistan: community-based defender goes missing,25/04/2023,Community-based HRD
174,Indonesia: Activists intimidated and hacked in anticipation of presidential visit to Medan,28/03/2023,Community-based HRD
175,China: petitioners sent back to their home cities en masse,12/02/2023,Pro-democracy defender
176,"India: unionist and demonstrators lathi charged, arrested",26/02/2023,Community-based HRD
176,"India: unionist and demonstrators lathi charged, arrested",26/02/2023,Labour rights defender
177,China: ailing pro-democracy defender denied lawyer visit (Update),12/02/2023,Pro-democracy defender
178,Kazakhstan: independent media editor intimidated,12/02/2023,WHRD
178,Kazakhstan: independent media editor intimidated,12/02/2023,Media Worker
179,Philippines: NGO faces further judicial harassment,18/02/2023,NGO
180,Pakistan: Journalist held in prison on unclear charges after being deported from Malaysia (Update),28/03/2023,Media Worker
181,Indonesia: Intimidation against a survivor of past human rights violation in Aceh,28/03/2023,Community-based HRD
182,China: trial against 47 pro-democracy defenders begins in Hong Kong,07/02/2023,Pro-democracy defender
182,China: trial against 47 pro-democracy defenders begins in Hong Kong,07/02/2023,WHRD
182,China: trial against 47 pro-democracy defenders begins in Hong Kong,07/02/2023,Student
183,Philippines: academic and unionist arrested,12/02/2023,Labour rights defender
183,Philippines: academic and unionist arrested,12/02/2023,WHRD
184,Maldives: two media worker injured for covering a protest,12/02/2023,Media Worker
185,Cambodia: 900 workers not allowed to resume working,12/02/2023,Labour rights defender
186,India: media worker killed after reporting on land grabbing,12/02/2023,Media Worker
187,Kazakhstan: son of media worker attacked,12/02/2023,Family of HRD
188,Sri Lanka: social media activist arrested,18/02/2023,Blogger/ Social Media Activist
189,Myanmar: community-based defenders protesting eviction are threatened,27/02/2023,Community-based HRD
190,Myanmar: pro-democracy WHRDs beaten in detention,27/02/2023,WHRD
190,Myanmar: pro-democracy WHRDs beaten in detention,27/02/2023,Pro-democracy defender
191,Afghanistan: academic beaten and arrested for criticising education ban on women,05/02/2023,Academic
191,Afghanistan: academic beaten and arrested for criticising education ban on women,05/02/2023,WHRD
192,"Philippines: police dismantled community barricade, two injured",05/02/2023,Environmental rights defender
192,"Philippines: police dismantled community barricade, two injured",05/02/2023,Community-based HRD
193,"Sri Lanka: peaceful protesters met with violence, arrest",06/02/2023,Pro-democracy defender
194,Indonesia: three land rights defenders arrested,06/03/2023,Community-based HRD
194,Indonesia: three land rights defenders arrested,06/03/2023,Land rights defender
195,"Indonesia: NGO staff defamation case completed, moved to trial (Update)",21/02/2023,NGO staff
195,"Indonesia: NGO staff defamation case completed, moved to trial (Update)",21/02/2023,WHRD
196,Pakistan: media worker arrested for alleged hate speech,05/02/2023,Media Worker
197,Vietnam: academic detained after 6-month investigation (Update),06/02/2023,Academic
198,Vietnam: lawyers investigated for revealing procedural irregularities,06/03/2023,Lawyer
199,Afghanistan: academic and women's rights advocate arrested,25/04/2023,Academic
199,Afghanistan: academic and women's rights advocate arrested,25/04/2023,WHRD
200,China: Tibetan family threatened for protesting their relative imprisonment,12/02/2023,Community-based HRD
201,Kyrgyzstan: independent media outlet compelled to self-censorship,05/02/2023,Media Worker
202,"Cambodia: labour union march halted, threatened with legal action",05/02/2023,Labour rights defender
203,South Korea: PwD rights defenders face charges (Update),31/01/2023,Community-based HRD
204,Philippines: at least four EHRDs arrested on trumped up charges,05/02/2023,Environmental rights defender
204,Philippines: at least four EHRDs arrested on trumped up charges,05/02/2023,NGO staff
204,Philippines: at least four EHRDs arrested on trumped up charges,05/02/2023,WHRD
205,Cambodia: labour rights defenders questioned,05/02/2023,Labour rights defender
206,India: RTI activist detained on false murder charges,10/02/2023,RTI activist
207,"Bangladesh: environmental lawyer intimidated, attacked",05/02/2023,Lawyer
207,"Bangladesh: environmental lawyer intimidated, attacked",05/02/2023,Environmental rights defender
207,"Bangladesh: environmental lawyer intimidated, attacked",05/02/2023,WHRD
208,Kazakhstan: opposition leader targeted with fresh charges (Update),05/02/2023,Pro-democracy defender
209,Thailand: pro-democracy defender sentenced to 28-year imprisonment (Update),05/02/2023,Pro-democracy defender
210,India: students detained ahead of documentary screening,26/01/2023,Student
211,Nepal: media worker harassed while reporting,05/02/2023,Media Worker
212,India: human rights lawyer severely beaten,05/02/2023,Lawyer
213,"India: media workers intimidated, charged",18/03/2023,Media Worker
214,Kyrgyzstan: media outlet facing closure (Update),26/01/2023,Media Worker
215,"Bangladesh: media worker arrested on false charges, tortured",27/01/2023,Media Worker
216,Indonesia: prominent Papuan media worker target of intimidation,27/01/2023,Media Worker
217,Thailand: two students detained when staging a symbolic protest,27/01/2023,Student
217,Thailand: two students detained when staging a symbolic protest,27/01/2023,Pro-democracy defender
218,Thailand: prominent pro-democracy lawyer faces disbarment,27/01/2023,Lawyer
218,Thailand: prominent pro-democracy lawyer faces disbarment,27/01/2023,Pro-democracy defender
219,Nepal: seven arrested for demanding justice,25/01/2023,Community-based HRD
219,Nepal: seven arrested for demanding justice,25/01/2023,WHRD
220,Bangladesh: detained media worker had investigation extended (Update),05/02/2023,Media Worker
220,Bangladesh: detained media worker had investigation extended (Update),05/02/2023,WHRD
221,Sri Lanka: two labour rights defenders arrested,18/02/2023,Labour rights defender
222,"Bangladesh: lawyer tortured, detained for a week",05/02/2023,Lawyer
223,Afghanistan: brother of community-based defender arrested,25/04/2023,Family of HRD
224,Mongolia: dissident writer detained,02/05/2023,Minority rights defender
224,Mongolia: dissident writer detained,02/05/2023,WHRD
225,Cambodia: union leader bail request again denied (Update),27/01/2023,Labour rights defender
225,Cambodia: union leader bail request again denied (Update),27/01/2023,WHRD
226,Cambodia: land rights defender briefly detained,27/01/2023,Land rights defender
227,Vietnam: blogger indicted after investigation is completed (Update),05/02/2023,Blogger/ Social Media Activist
228,Indonesia: environmental defender sentenced,26/02/2023,Environmental rights defender
229,Pakistan: human rights lawyer gunned down,26/01/2023,Lawyer
230,Sri Lanka: demonstrators met with police violence,27/02/2023,Community-based HRD
231,Philippines: youth group office raided at night,17/01/2023,Youth
232,Sri Lanka: water cannons to disperse demonstrators,28/02/2023,Pro-democracy defender
233,China: pro-democracy defender formally indicted (Update),27/01/2023,Pro-democracy defender
234,"Cambodia: youth, environmentalists under surveillance",27/01/2023,Youth
234,"Cambodia: youth, environmentalists under surveillance",27/01/2023,Environmental rights defender
235,Pakistan: media worker arrested for exposing military asset,05/02/2023,Media Worker
236,Kazakhstan: multiple attacks on independent media,27/01/2023,Media Worker
236,Kazakhstan: multiple attacks on independent media,27/01/2023,WHRD
237,Kyrgyzstan: blogger sent to prison,15/01/2023,Blogger/ Social Media Activist
238,"Kyrgyzstan: relatives of detained environmentalists, media workers detained",15/01/2023,Family of HRD
238,"Kyrgyzstan: relatives of detained environmentalists, media workers detained",15/01/2023,Media Worker
239,Philippines: two defenders go missing,17/01/2023,Community-based HRD
239,Philippines: two defenders go missing,17/01/2023,WHRD
240,Thailand: two pro-democracy defenders detained again after their bail is revoked,15/01/2023,WHRD
240,Thailand: two pro-democracy defenders detained again after their bail is revoked,15/01/2023,Student
240,Thailand: two pro-democracy defenders detained again after their bail is revoked,15/01/2023,Pro-democracy defender
241,"Cambodia: NGO asked to take down video, threatened with legal action",15/01/2023,NGO
